time,type,traffic_flow
0.0,TCP,28746
0.0,UDP,2283
0.1,TCP,8252
0.2,TCP,3218
0.3,TCP,18427
0.3,UDP,227
0.4,TCP,2688
0.5,TCP,54
0.6,TCP,765
0.6,UDP,224
0.7,TCP,5812
1.2,UDP,104
1.6,TCP,505
2.3,TCP,471
2.4,UDP,104
3.3,TCP,505
3.6,UDP,104
4.8,UDP,104
6.8,TCP,505
8.5,TCP,1567
8.6,TCP,494
10.4,TCP,681
10.5,TCP,340
10.6,TCP,4891
10.7,TCP,7669
10.8,TCP,12326
10.8,UDP,457
10.9,TCP,5230
11.0,TCP,3668
11.1,TCP,2060
11.2,TCP,2311
11.3,TCP,2740
11.4,TCP,4804
11.5,TCP,11029
11.6,TCP,2308
11.7,TCP,4533
11.8,TCP,1766
11.9,TCP,2960
12.0,TCP,2587
12.1,TCP,4193
12.2,TCP,4666
12.3,TCP,2048
12.4,TCP,3385
12.5,TCP,480
12.6,TCP,54
13.4,TCP,873
13.5,TCP,3279
13.6,TCP,2005
13.7,TCP,4486
13.8,TCP,3504
13.9,TCP,4848
14.0,TCP,534
24.9,TCP,188
25.0,TCP,54
27.8,TCP,505
33.8,TCP,240
34.0,TCP,162
53.8,TCP,240
57.0,TCP,505
60.0,TCP,54
60.1,TCP,270
60.2,TCP,288
60.3,TCP,300
60.4,TCP,288
62.2,TCP,798
62.3,TCP,2217
62.4,TCP,108
62.5,TCP,128
62.6,TCP,5707
62.7,TCP,1897
62.8,TCP,3525
62.9,TCP,534
