time,type,traffic_flow
0.0,TCP,680
1.7,TCP,583
1.8,TCP,2769
1.9,TCP,1055
2.1,TCP,54
7.2,TCP,97
11.6,TCP,333
11.7,TCP,461
11.8,TCP,54
11.9,TCP,486
12.0,TCP,85
12.5,TCP,85
13.6,TCP,85
14.4,TCP,54
15.7,TCP,85
18.5,TCP,54
19.8,TCP,85
20.9,TCP,827
20.9,UDP,241
21.0,TCP,6185
21.0,UDP,190
21.1,TCP,2625
21.2,TCP,905
21.3,TCP,97
21.4,TCP,847
21.4,UDP,247
21.5,TCP,8958
21.6,TCP,9905
21.7,TCP,810
21.8,TCP,797
21.8,UDP,193
21.9,TCP,7695
22.0,TCP,1148
22.1,TCP,14815
22.1,UDP,241
22.2,TCP,10310
22.3,TCP,15114
22.3,UDP,324
22.4,TCP,24922
22.5,TCP,9187
22.6,TCP,28385
22.7,TCP,770
22.7,UDP,251
22.8,TCP,6651
22.9,TCP,147
23.0,TCP,1287
23.2,UDP,110
23.3,TCP,2700
23.4,TCP,2549
23.5,TCP,3428
23.6,TCP,471
23.7,TCP,394
23.7,UDP,275
23.8,TCP,12228
23.9,TCP,198
24.2,TCP,6725
24.2,UDP,242
24.3,TCP,2967
25.2,TCP,74
25.2,UDP,190
25.3,TCP,1209
25.4,TCP,809
25.5,TCP,108
25.8,TCP,74
25.9,TCP,714
26.0,TCP,54
26.1,TCP,12446
26.2,TCP,324
26.7,TCP,669
26.8,TCP,623
27.9,TCP,85
28.9,TCP,657
36.5,TCP,139
36.6,TCP,174
37.2,TCP,560
37.3,TCP,120
37.4,TCP,54
38.0,TCP,193
38.1,TCP,120
38.5,TCP,247
39.3,TCP,54
39.4,TCP,54
40.5,TCP,772
40.6,TCP,635
41.3,TCP,193
41.4,TCP,54
41.5,TCP,54
41.9,TCP,128
42.0,TCP,172
42.2,TCP,301
43.0,TCP,74
43.0,UDP,178
43.1,TCP,8576
43.7,TCP,592
43.8,TCP,1120
43.9,TCP,1848
44.0,TCP,2248
44.1,TCP,1816
44.2,TCP,1800
44.3,TCP,2257
44.4,TCP,2451
44.5,TCP,15542
44.6,TCP,7087
44.7,TCP,2002
44.8,TCP,1930
44.9,TCP,3792
45.0,TCP,3524
45.1,TCP,2732
45.2,TCP,93938
45.3,TCP,116145
45.4,TCP,330768
45.5,TCP,652850
45.6,TCP,529742
45.7,TCP,478678
45.8,TCP,1186914
45.9,TCP,964080
46.0,TCP,779680
46.1,TCP,747780
46.2,TCP,772252
46.3,TCP,747050
46.4,TCP,783268
46.5,TCP,528552
46.6,TCP,965424
46.7,TCP,601630
46.8,TCP,879426
46.9,TCP,306636
47.0,TCP,866278
47.1,TCP,632806
47.2,TCP,1154834
47.3,TCP,626076
47.4,TCP,497638
47.5,TCP,775184
47.6,TCP,787026
47.7,TCP,695084
47.8,TCP,815250
47.9,TCP,784346
48.0,TCP,515000
48.1,TCP,883706
48.2,TCP,747444
48.3,TCP,403028
48.4,TCP,903984
48.5,TCP,106612
48.6,TCP,286406
48.7,TCP,273390
48.8,TCP,1694704
48.9,TCP,98398
49.0,TCP,565250
49.1,TCP,105186
49.2,TCP,509908
49.3,TCP,405236
49.4,TCP,434182
49.4,UDP,190
49.5,TCP,246760
49.6,TCP,352462
49.7,TCP,160550
49.8,TCP,556930
49.9,TCP,753438
50.0,TCP,576138
50.1,TCP,824608
50.2,TCP,982542
50.3,TCP,623932
50.4,TCP,476404
50.5,TCP,694550
50.6,TCP,791238
50.7,TCP,1024126
50.8,TCP,368400
50.9,TCP,984358
51.0,TCP,862218
51.1,TCP,783113
51.2,TCP,825053
51.3,TCP,749034
51.4,TCP,753991
51.5,TCP,526234
51.6,TCP,937978
51.7,TCP,748082
51.8,TCP,430066
51.9,TCP,323473
52.0,TCP,297000
52.1,TCP,236050
52.2,TCP,137374
52.3,TCP,618861
52.4,TCP,519414
52.5,TCP,687544
52.6,TCP,579300
52.7,TCP,604912
52.8,TCP,304186
52.9,TCP,594232
53.0,TCP,800676
53.1,TCP,784672
53.2,TCP,318404
53.3,TCP,570198
53.4,TCP,774518
53.5,TCP,772820
53.6,TCP,756492
53.7,TCP,598548
53.8,TCP,804166
53.9,TCP,807794
54.0,TCP,854540
54.1,TCP,737484
54.2,TCP,739762
54.3,TCP,802212
54.4,TCP,731480
54.5,TCP,600740
54.6,TCP,466891
54.7,TCP,99926
54.8,TCP,16524
54.9,TCP,2808
55.0,TCP,2050
55.1,TCP,1816
55.2,TCP,1800
55.3,TCP,2196
55.4,TCP,1574
55.5,TCP,1444
55.6,TCP,1957
55.7,TCP,2099
55.8,TCP,83289
55.9,TCP,217266
56.0,TCP,162018
56.1,TCP,177862
56.2,TCP,110558
56.3,TCP,114426
56.4,TCP,145292
56.5,TCP,118744
56.6,TCP,108110
56.7,TCP,102320
56.8,TCP,108182
56.9,TCP,87866
57.0,TCP,101288
57.1,TCP,100032
57.2,TCP,104212
57.3,TCP,106814
57.4,TCP,102416
57.5,TCP,107114
57.6,TCP,107374
57.7,TCP,93722
57.8,TCP,89920
57.9,TCP,80762
58.0,TCP,108600
58.1,TCP,102656
58.2,TCP,105192
58.3,TCP,108322
58.4,TCP,107120
58.5,TCP,101070
58.6,TCP,93542
58.7,TCP,111464
58.8,TCP,100872
58.9,TCP,112810
59.0,TCP,96986
59.1,TCP,98064
59.2,TCP,98704
59.3,TCP,90448
59.4,TCP,110052
59.5,TCP,98168
59.6,TCP,105576
59.7,TCP,102248
59.8,TCP,105378
59.9,TCP,99682
60.0,TCP,98018
60.1,TCP,89714
60.2,TCP,95158
60.3,TCP,95586
60.4,TCP,108388
60.5,TCP,106670
60.6,TCP,104122
60.7,TCP,105414
60.8,TCP,102248
60.9,TCP,108718
61.0,TCP,102608
61.1,TCP,101060
61.2,TCP,95268
61.3,TCP,93896
61.4,TCP,108466
61.5,TCP,93674
61.6,TCP,112744
61.7,TCP,102524
61.8,TCP,96246
61.9,TCP,104316
62.0,TCP,89288
62.1,TCP,98442
62.2,TCP,104134
62.3,TCP,97664
62.4,TCP,105312
62.5,TCP,105456
62.6,TCP,97952
62.7,TCP,111464
62.8,TCP,102590
62.9,TCP,96860
63.0,TCP,102796
63.1,TCP,87846
63.2,TCP,102608
63.3,TCP,103948
63.4,TCP,106844
63.5,TCP,103816
63.6,TCP,105756
63.7,TCP,102350
63.8,TCP,96900
63.9,TCP,98356
64.0,TCP,98192
64.1,TCP,101178
64.2,TCP,105582
64.3,TCP,108610
64.4,TCP,95026
64.5,TCP,98324
64.6,TCP,108890
64.7,TCP,88184
64.8,TCP,105372
64.9,TCP,109470
65.0,TCP,107342
65.1,TCP,96494
65.2,TCP,92692
65.3,TCP,99154
65.4,TCP,101106
65.5,TCP,104716
65.6,TCP,102128
65.7,TCP,110250
65.8,TCP,102392
65.9,TCP,103750
66.0,TCP,108936
66.0,UDP,190
66.1,TCP,82320
66.2,TCP,106331
66.3,TCP,88172
66.4,TCP,114120
66.5,TCP,125632
66.6,TCP,119834
66.7,TCP,89390
66.8,TCP,81892
66.9,TCP,82424
67.0,TCP,83860
67.1,TCP,86080
67.2,TCP,106087
67.3,TCP,104844
67.4,TCP,103582
67.5,TCP,95760
67.6,TCP,103818
67.7,TCP,102600
67.8,TCP,89024
67.9,TCP,95072
68.0,TCP,82752
68.1,TCP,97124
68.2,TCP,97226
68.3,TCP,106184
68.4,TCP,84708
68.5,TCP,75102
68.6,TCP,37330
68.7,TCP,22384
68.8,TCP,18912
68.9,TCP,21448
69.0,TCP,19862
69.1,TCP,27642
69.2,TCP,17828
69.3,TCP,462
69.4,TCP,264
71.0,TCP,54
71.5,TCP,54
75.8,TCP,54
76.8,TCP,54
77.9,TCP,85
80.2,TCP,605
80.3,TCP,1054
80.3,UDP,372
80.4,UDP,86
81.9,UDP,86
82.0,UDP,86
82.4,UDP,464
83.0,UDP,86
83.5,UDP,85
83.6,UDP,85
84.6,UDP,85
84.7,TCP,437
84.7,UDP,190
84.8,TCP,15343
84.9,TCP,31330
85.0,TCP,15590
85.3,TCP,54
87.3,TCP,54
88.4,TCP,457
90.8,TCP,605
90.9,TCP,1812
90.9,UDP,379
91.0,UDP,85
92.0,UDP,170
93.0,UDP,401
93.1,UDP,86
95.1,UDP,571
96.1,UDP,86
96.2,UDP,170
97.1,UDP,71
97.2,UDP,358
98.3,UDP,87
98.4,UDP,87
99.2,UDP,74
99.4,UDP,87
99.9,TCP,54
100.0,TCP,54
101.2,UDP,74
101.3,UDP,232
101.4,UDP,85
101.6,TCP,94
101.7,TCP,930
101.7,UDP,78
101.8,TCP,264
101.8,UDP,302
101.9,TCP,15722
102.0,TCP,22798
102.1,TCP,11642
102.1,UDP,74
102.2,TCP,364
102.9,TCP,364
104.0,TCP,364
104.2,TCP,2140
104.2,UDP,95
104.3,UDP,498
104.5,TCP,54
105.5,TCP,1158
105.5,UDP,1311
105.6,TCP,5488
105.6,UDP,746
105.7,TCP,2621
105.7,UDP,3423
105.8,TCP,7669
105.8,UDP,596
105.9,TCP,4634
105.9,UDP,682
106.0,TCP,1004
106.1,TCP,859
106.4,TCP,576
106.5,TCP,526
106.7,TCP,54
107.3,TCP,522
107.4,TCP,108
107.5,TCP,54
107.6,TCP,54
107.7,UDP,264
107.8,TCP,54
108.6,TCP,54
109.0,TCP,468
109.1,TCP,54
109.2,TCP,54
109.3,TCP,54
109.5,TCP,54
109.7,UDP,89
110.1,TCP,108
110.8,TCP,605
110.9,TCP,946
111.0,TCP,54
111.0,UDP,284
111.4,TCP,364
112.1,UDP,87
112.3,UDP,87
112.4,TCP,186
112.7,TCP,336
112.9,TCP,54
113.0,UDP,76
113.1,UDP,427
113.2,TCP,54
113.3,UDP,87
113.7,TCP,54
114.2,UDP,85
114.3,UDP,85
114.5,TCP,54
115.0,TCP,54
115.3,UDP,85
115.8,TCP,108
116.3,TCP,3907
116.3,UDP,4420
116.4,TCP,9158
116.4,UDP,1057
116.5,TCP,6635
116.5,UDP,601
116.6,TCP,1390
116.6,UDP,591
116.7,TCP,631
116.8,TCP,792
116.9,TCP,54
117.0,TCP,108
117.1,TCP,162
117.2,TCP,390
117.3,TCP,282
117.4,TCP,54
118.0,TCP,54
118.1,TCP,336
118.2,TCP,282
118.4,TCP,139
118.5,TCP,108
119.3,TCP,186
119.6,TCP,282
119.8,TCP,108
119.9,TCP,510
120.0,TCP,108
120.4,TCP,54
120.6,TCP,162
120.8,TCP,54
120.9,TCP,472
121.1,TCP,54
121.6,TCP,54
123.2,TCP,54
123.4,TCP,336
123.7,TCP,336
124.7,TCP,54
125.0,TCP,2376
125.0,UDP,1310
125.1,TCP,4263
125.1,UDP,401
125.2,TCP,3017
125.3,TCP,1522
