time,type,traffic_flow
0.0,TCP,437
0.8,TCP,132
0.9,TCP,174
4.1,TCP,54
4.2,TCP,54
5.2,TCP,139
5.3,TCP,216
17.1,TCP,148
17.1,UDP,76
17.2,TCP,723
17.2,UDP,213
17.3,TCP,21124
17.3,UDP,175
17.4,TCP,4253
17.5,TCP,19338
17.6,TCP,4560
17.7,TCP,13433
17.7,UDP,385
17.8,TCP,29357
17.9,TCP,31381
18.0,TCP,10671
18.1,TCP,33676
18.2,TCP,6853
18.3,TCP,6385
18.4,TCP,27571
18.5,TCP,8531
18.6,TCP,5129
18.7,TCP,6331
18.8,TCP,29798
18.9,TCP,6385
19.0,TCP,50124
19.1,TCP,63794
19.1,UDP,89
19.2,TCP,9658
19.2,UDP,153
19.3,TCP,19590
19.4,TCP,7281
19.5,TCP,10808
19.6,TCP,45460
19.7,TCP,5706
19.8,TCP,9635
19.9,TCP,8781
20.0,TCP,34313
20.6,TCP,6351
20.7,TCP,1401
21.6,TCP,54
21.7,TCP,108
22.1,TCP,1003
22.1,UDP,385
22.2,TCP,54
22.5,UDP,314
23.6,TCP,74
23.6,UDP,242
23.7,TCP,723
23.8,TCP,6838
23.9,TCP,344
24.0,TCP,1204
24.1,TCP,291
24.2,TCP,66
25.1,UDP,89
25.2,TCP,74
25.2,UDP,153
25.3,TCP,723
25.4,TCP,6838
25.5,TCP,471
25.6,TCP,392
25.7,TCP,956
25.9,TCP,132
27.5,TCP,247
27.6,TCP,209
27.7,TCP,259
28.0,TCP,1283
28.2,TCP,13007
28.3,TCP,26666
28.4,TCP,25471
29.6,TCP,275
29.7,TCP,162
30.2,TCP,54
30.3,TCP,54
38.0,TCP,649
39.8,TCP,8063
39.9,TCP,943
42.1,TCP,209
42.2,TCP,2928
42.3,TCP,43968
42.4,TCP,41698
42.5,TCP,29588
42.6,TCP,140912
48.0,TCP,649
54.5,TCP,966
54.5,UDP,186
54.6,TCP,2614
54.6,UDP,88
54.7,TCP,948
54.7,UDP,136
54.8,TCP,6409
54.9,TCP,2672
55.0,TCP,11972
55.0,UDP,1018
55.1,TCP,30131
55.1,UDP,300
55.2,TCP,1960
55.3,TCP,5575
55.4,TCP,7349
55.5,TCP,12477
55.6,TCP,12961
55.7,TCP,95362
55.8,TCP,643925
55.9,TCP,858116
56.0,TCP,1074308
56.1,TCP,1034904
56.2,TCP,667300
56.3,TCP,866950
56.4,TCP,924578
56.5,TCP,821714
56.6,TCP,671224
56.7,TCP,713970
56.8,TCP,652038
