time,type,traffic_flow
0.0,TCP,2284
0.1,TCP,4471
0.2,TCP,301
2.2,TCP,592
2.3,TCP,1368
5.2,TCP,312
5.3,TCP,444
5.4,TCP,2136
6.0,TCP,1323
6.1,TCP,54
6.2,TCP,17031
6.3,TCP,108
6.7,TCP,4334
6.8,TCP,322996
6.9,TCP,611401
7.0,TCP,312208
7.1,TCP,6891
7.2,TCP,8947
7.3,TCP,33897
7.4,TCP,2799
7.5,TCP,6492
7.6,TCP,5453
7.7,TCP,29410
7.8,TCP,18721
7.9,TCP,139948
8.0,TCP,413650
8.1,TCP,349337
8.2,TCP,46015
8.3,TCP,137730
8.4,TCP,113454
8.5,TCP,97578
8.6,TCP,108120
8.7,TCP,157818
8.8,TCP,206172
8.9,TCP,264980
9.0,TCP,1561
9.1,TCP,75200
9.2,TCP,81480
9.3,TCP,260766
9.4,TCP,142244
9.5,TCP,28423
9.6,TCP,1146
9.7,TCP,756
10.4,TCP,74
10.5,TCP,1141
10.7,TCP,420
10.8,TCP,294
10.9,TCP,486
11.2,TCP,999
11.4,TCP,614
16.0,TCP,2616
16.1,TCP,7259
16.2,TCP,628
16.3,TCP,250
16.8,TCP,250
17.7,TCP,250
23.3,TCP,54
23.5,TCP,54
24.4,TCP,54
24.6,TCP,54
26.0,TCP,54
26.2,TCP,396
26.3,TCP,108
26.4,TCP,54
26.7,TCP,54
26.8,TCP,54
27.0,TCP,108
33.9,TCP,243
34.0,TCP,2472
34.1,TCP,8314
34.2,TCP,687
37.3,TCP,1640
37.4,TCP,1075
38.0,TCP,2106
38.1,TCP,458
38.2,TCP,1912
38.3,TCP,267
38.6,TCP,2089
39.6,TCP,2429
40.5,TCP,1991
40.6,TCP,438
40.9,TCP,1989
41.0,TCP,438
41.1,TCP,2428
41.2,TCP,2045
41.3,TCP,384
41.5,TCP,1991
41.6,TCP,438
41.8,TCP,4422
41.9,TCP,2429
42.0,TCP,438
42.1,TCP,2046
42.2,TCP,384
42.3,TCP,2428
42.4,TCP,5161
42.5,TCP,2430
42.6,TCP,2481
42.7,TCP,384
42.8,TCP,2429
42.9,TCP,2045
43.0,TCP,4805
43.1,TCP,2759
43.2,TCP,2044
43.3,TCP,438
50.0,TCP,2207
50.1,TCP,872
50.2,TCP,108
50.4,TCP,7920
50.6,TCP,606
