time,type,traffic_flow
3.4,TCP,271
3.5,TCP,120
5.4,UDP,563
5.5,TCP,35647
5.5,UDP,2287
5.6,TCP,18962
5.6,UDP,270
5.7,TCP,2646
5.8,TCP,1915
5.9,TCP,674
6.1,TCP,4719
6.1,UDP,224
6.2,TCP,1353
6.7,UDP,104
7.9,UDP,104
8.4,TCP,471
9.1,UDP,104
10.3,UDP,104
12.2,TCP,663
14.7,TCP,162
14.7,UDP,87
14.8,TCP,2204
14.8,UDP,180
14.9,TCP,6286
15.0,TCP,1181
15.1,TCP,1027
15.2,TCP,1228
15.3,TCP,54
17.0,TCP,162
20.1,TCP,1622
20.2,TCP,497
20.3,TCP,74
20.4,TCP,1044
20.5,TCP,598
21.1,TCP,74
21.1,UDP,243
21.2,TCP,2022
21.3,TCP,2918
21.4,TCP,1583
21.5,TCP,551
27.9,TCP,1111
28.0,TCP,54
28.1,TCP,652
29.8,TCP,140
29.9,TCP,5784
30.0,TCP,54
30.9,TCP,108
31.3,TCP,95
31.4,TCP,54
31.5,TCP,500
31.6,TCP,9921
32.6,TCP,74
32.7,TCP,6910
33.5,TCP,8844
33.6,TCP,486
35.1,TCP,64024
35.1,UDP,567
35.2,TCP,540
35.4,TCP,74
35.4,UDP,495
35.5,TCP,4601
35.6,TCP,15897
35.7,TCP,28737
40.1,TCP,1453
40.2,TCP,668
44.8,TCP,2689
44.9,TCP,54
45.0,TCP,636
46.3,TCP,74
46.4,TCP,1722
46.5,TCP,54
60.3,TCP,139
62.3,TCP,74
62.4,TCP,1370
62.5,TCP,582
65.6,TCP,504
65.7,TCP,420
65.8,TCP,288
67.7,TCP,95
67.8,TCP,499
67.9,TCP,878
73.8,TCP,194
73.9,TCP,1666
74.0,TCP,54
82.4,TCP,1597
82.5,TCP,2428
82.5,UDP,243
82.6,TCP,2026
82.7,TCP,54
89.8,TCP,3630
89.9,TCP,1711
90.0,TCP,54
90.1,TCP,592
90.2,TCP,54
91.9,TCP,108
92.2,TCP,108
92.4,TCP,108
92.8,TCP,108
93.7,TCP,108
95.1,TCP,54
95.2,TCP,120
95.4,TCP,54
95.5,TCP,54
95.8,TCP,1246
95.9,TCP,636
