time,type,traffic_flow
0.0,TCP,507
0.1,TCP,906
0.1,UDP,202
0.2,TCP,2564
0.2,UDP,499
0.3,TCP,15156
0.3,UDP,418
0.4,TCP,6807
0.4,UDP,86
0.5,TCP,1095
0.6,TCP,1951
0.7,TCP,54
0.8,TCP,3088
0.9,TCP,3475
1.0,TCP,3640
1.1,TCP,2949
1.2,TCP,476
1.3,TCP,74
2.5,TCP,194
2.5,UDP,276
2.6,TCP,6001
2.7,TCP,54
3.0,TCP,6383
3.0,UDP,255
3.1,TCP,710
3.3,TCP,186
3.4,TCP,237
3.5,TCP,1100
3.5,UDP,369
3.6,TCP,893
4.8,TCP,2189
4.8,UDP,196
4.9,TCP,404
8.3,UDP,84
10.3,TCP,818
10.4,TCP,4343
10.5,TCP,1589
10.6,TCP,3498
10.7,TCP,3422
10.8,TCP,3794
10.9,TCP,2858
10.9,UDP,333
11.0,TCP,5868
11.1,TCP,3705
11.2,TCP,1676
11.2,UDP,336
11.3,TCP,9296
11.3,UDP,100
11.4,TCP,6699
11.5,TCP,465
18.7,TCP,54
18.9,TCP,54
19.1,TCP,54
19.6,TCP,54
20.5,TCP,54
22.8,TCP,2479
22.8,UDP,186
22.9,TCP,1215
23.0,TCP,85
23.5,TCP,85
24.4,TCP,85
25.7,TCP,54
25.8,TCP,54
26.0,TCP,54
26.1,TCP,120
26.5,TCP,54
26.6,TCP,54
48.4,TCP,139
48.9,TCP,139
53.6,TCP,54
53.7,TCP,54
60.4,TCP,54
60.6,TCP,108
74.5,TCP,193
74.6,TCP,120
76.1,TCP,193
76.2,TCP,54
76.3,TCP,139
76.4,TCP,54
76.5,TCP,54
86.5,TCP,139
86.6,TCP,174
87.9,TCP,313
102.4,TCP,240
102.5,TCP,232
112.6,TCP,139
112.8,TCP,417
113.7,TCP,139
141.2,TCP,139
141.3,TCP,773
141.3,UDP,228
141.4,TCP,8358
142.3,TCP,139
143.2,TCP,139
174.4,TCP,74
174.4,UDP,249
174.5,TCP,6315
174.6,TCP,3497
174.6,UDP,156
174.7,TCP,66
174.9,TCP,2758
175.1,TCP,762
175.1,UDP,80
175.2,TCP,5098
175.2,UDP,165
175.3,TCP,557
175.5,TCP,4620
175.5,UDP,438
175.6,TCP,3089
175.7,UDP,230
175.9,TCP,385
176.0,UDP,230
176.1,TCP,4535
176.1,UDP,633
176.2,TCP,8311
176.2,UDP,783
176.3,TCP,19349
176.3,UDP,482
176.4,TCP,16488
176.4,UDP,397
176.5,TCP,7510
176.5,UDP,220
176.6,TCP,20432
176.6,UDP,438
176.7,TCP,11677
176.8,TCP,2839
176.9,TCP,10942
177.0,TCP,622
177.2,UDP,601
177.4,TCP,557
177.8,TCP,4727
177.9,TCP,2150
178.0,TCP,569
178.4,TCP,557
179.3,UDP,601
179.4,TCP,557
180.2,TCP,148
180.2,UDP,797
180.3,TCP,434
180.3,UDP,79
180.4,TCP,20019
180.4,UDP,95
180.5,TCP,4842
180.6,TCP,148
180.6,UDP,494
180.7,TCP,14192
180.8,TCP,1904
180.9,TCP,108
181.2,TCP,1210
181.2,UDP,84
181.3,TCP,1360
181.4,TCP,2530
181.4,UDP,172
181.5,TCP,4043
181.5,UDP,245
181.6,TCP,4791
181.6,UDP,93
181.7,TCP,3987
181.8,TCP,856
182.6,TCP,557
183.3,UDP,601
183.6,TCP,306
183.8,TCP,251
184.2,UDP,446
184.7,TCP,6929
184.7,UDP,470
184.8,TCP,15689
184.9,TCP,6307
185.0,TCP,1786
185.1,TCP,785
185.2,TCP,325
185.3,TCP,661
185.4,TCP,618
185.5,TCP,518
185.6,TCP,3241
185.7,TCP,2362
185.8,TCP,305
185.9,TCP,2662
185.9,UDP,156
186.0,TCP,1130
186.1,TCP,555
186.2,TCP,2872
186.3,TCP,1318
186.4,TCP,347
186.6,TCP,1974
186.7,TCP,54
186.8,TCP,74
186.9,TCP,4530
187.1,TCP,180
187.2,TCP,3253
187.6,UDP,94
187.7,TCP,9653
187.7,UDP,368
187.8,TCP,4340
187.9,TCP,1692
188.0,TCP,6170
188.1,TCP,18071
188.2,TCP,12057
188.3,TCP,884
188.3,UDP,1427
188.4,TCP,231
188.4,UDP,1933
188.5,TCP,2191
188.5,UDP,83
188.6,TCP,43693
188.6,UDP,230
188.7,TCP,45670
188.8,TCP,1968
188.9,TCP,3107
189.0,TCP,25497
189.1,TCP,582
189.1,UDP,458
189.2,TCP,5042
189.2,UDP,426
189.3,TCP,7188
189.3,UDP,172
189.4,TCP,9660
189.4,UDP,83
189.6,TCP,128
189.6,UDP,83
189.7,TCP,4744
189.7,UDP,148
189.8,TCP,2213
190.4,TCP,6241
190.4,UDP,170
190.5,TCP,1090
191.2,TCP,306
191.3,TCP,251
191.3,UDP,601
191.9,TCP,1154
192.0,TCP,5349
192.1,TCP,612
192.2,TCP,930
192.3,TCP,5255
192.4,TCP,4574
193.1,TCP,527
193.2,TCP,54
193.3,TCP,557
194.1,UDP,164
194.2,UDP,1032
194.3,TCP,557
194.3,UDP,1065
194.9,TCP,417
194.9,UDP,344
195.0,TCP,1562
195.1,TCP,278
195.1,UDP,99
195.2,UDP,138
195.3,TCP,557
195.4,TCP,127
195.5,TCP,219
195.6,TCP,9063
195.6,UDP,236
195.7,TCP,11135
195.8,TCP,2554
195.8,UDP,490
195.9,TCP,4698
195.9,UDP,206
196.0,TCP,17254
196.0,UDP,83
196.1,TCP,5604
196.2,TCP,48040
196.3,TCP,3790
196.4,TCP,19694
196.4,UDP,778
196.5,TCP,79225
196.5,UDP,3032
196.6,TCP,159674
196.6,UDP,1116
196.7,TCP,123766
196.7,UDP,83
196.8,TCP,9002
196.8,UDP,83
196.9,TCP,92768
197.0,TCP,241938
197.1,TCP,138989
197.2,TCP,140152
197.3,TCP,206251
197.4,TCP,25900
197.5,TCP,327229
197.6,TCP,27936
197.7,TCP,208558
197.8,TCP,86446
197.9,TCP,192110
198.0,TCP,268564
198.1,TCP,66957
198.2,TCP,84851
198.2,UDP,456
198.3,TCP,512181
198.3,UDP,742
198.4,TCP,208121
198.4,UDP,77
198.5,TCP,233955
198.6,TCP,396784
198.7,TCP,575867
198.8,TCP,468320
198.9,TCP,325478
199.0,TCP,386354
199.1,TCP,521982
199.1,UDP,182
199.2,TCP,549885
199.2,UDP,366
199.3,TCP,668776
199.4,TCP,268776
199.5,TCP,5220
199.6,TCP,205329
199.6,UDP,609
199.7,TCP,424534
199.7,UDP,357
199.8,TCP,7357
200.3,TCP,74
200.4,TCP,847
200.5,TCP,1745
200.6,TCP,247301
200.7,TCP,509943
200.8,TCP,539424
200.9,TCP,518949
201.0,TCP,608838
201.0,UDP,418
201.1,TCP,210082
201.2,TCP,330
201.3,TCP,115
201.4,TCP,1465
201.5,TCP,216
202.1,TCP,878
202.4,TCP,74
202.4,UDP,760
202.5,TCP,7173
202.6,TCP,125072
202.6,UDP,435
202.7,TCP,145062
202.7,UDP,174
202.8,TCP,3792
202.8,UDP,270
202.9,TCP,421
202.9,UDP,87
203.1,TCP,1116
204.2,TCP,447
204.3,TCP,54
204.7,TCP,14788
204.8,TCP,175846
204.9,TCP,65812
205.0,TCP,60028
205.1,TCP,70942
205.2,TCP,102557
205.3,TCP,53482
205.7,TCP,111
205.8,TCP,54
205.8,UDP,96
205.9,TCP,3422
206.0,TCP,338
206.2,TCP,165
206.3,TCP,21000
206.4,TCP,124437
206.5,TCP,2867
206.6,TCP,5720
206.9,TCP,4274
207.0,TCP,708
207.3,UDP,601
207.5,TCP,129176
207.6,TCP,167214
207.7,TCP,395053
207.8,TCP,157113
207.9,TCP,96836
208.0,TCP,88849
208.1,TCP,108
208.3,TCP,279
208.3,UDP,147
209.4,TCP,437
209.7,TCP,6737
209.8,TCP,6740
210.0,TCP,2989
210.1,TCP,402292
210.2,TCP,365815
210.3,TCP,122662
210.4,TCP,26575
211.2,TCP,713
211.5,TCP,6057
211.8,TCP,683
212.0,TCP,683
212.2,TCP,597
212.3,TCP,165
212.5,TCP,683
213.5,TCP,683
213.7,TCP,597
214.0,TCP,399
214.1,TCP,54
215.3,TCP,620
215.4,TCP,1239
216.2,TCP,276
216.6,TCP,500
218.3,TCP,142
218.3,UDP,70
218.4,TCP,137
218.4,UDP,77
218.6,TCP,111
218.7,TCP,54
218.9,TCP,175
219.0,TCP,66
219.6,TCP,1245
219.7,TCP,1645
221.2,TCP,276
221.6,TCP,1757
221.7,TCP,354
223.1,TCP,66
223.2,TCP,66
225.5,TCP,367
225.6,TCP,54
226.2,TCP,276
226.6,TCP,597
227.2,TCP,527
227.3,TCP,503
227.4,TCP,792
227.5,UDP,5250
227.6,UDP,176
227.9,TCP,527
228.0,TCP,54
228.2,TCP,384
228.3,TCP,542
228.3,UDP,147
229.8,TCP,335
230.0,TCP,3211
230.5,UDP,507
230.6,UDP,2921
230.7,UDP,169
231.2,TCP,276
231.8,TCP,111
231.9,TCP,54
232.1,TCP,111
232.2,TCP,54
232.7,TCP,367
232.8,TCP,54
