time,type,traffic_flow
4.6,TCP,437
6.0,TCP,2989
6.0,UDP,186
6.1,TCP,613
6.2,TCP,85
6.7,TCP,85
7.6,TCP,85
9.6,TCP,186
17.6,TCP,2492
17.6,UDP,642
17.7,TCP,5460
17.7,UDP,963
17.8,TCP,4314
17.8,UDP,424
17.9,TCP,3049
17.9,UDP,234
18.0,TCP,1095
18.2,TCP,838
18.2,UDP,394
18.3,TCP,8924
18.4,TCP,1174
18.5,TCP,1369
18.6,TCP,4538
18.6,UDP,210
18.7,TCP,4999
18.7,UDP,227
18.8,TCP,6822
18.9,TCP,5703
19.0,TCP,3748
19.1,TCP,66
19.2,TCP,25492
19.3,TCP,653
19.4,TCP,801
20.4,TCP,370
20.4,UDP,317
20.5,TCP,32241
20.5,UDP,93
20.6,TCP,15617
20.6,UDP,168
20.7,TCP,2099
20.7,UDP,88
20.8,TCP,22715
20.9,TCP,3019
20.9,UDP,223
21.0,TCP,18863
21.1,TCP,19706
21.2,TCP,10810
21.2,UDP,85
21.3,TCP,29731
21.3,UDP,290
21.4,TCP,1975
21.4,UDP,176
21.5,TCP,494
21.6,TCP,3817
21.7,TCP,2232
21.8,TCP,365
22.7,UDP,132
22.9,TCP,74
23.0,TCP,712
23.1,TCP,715
23.2,TCP,341
23.7,UDP,88
24.4,UDP,308
24.6,TCP,8708
24.7,TCP,199330
24.8,TCP,61311
24.9,TCP,1885
25.0,TCP,72778
25.1,TCP,413964
25.2,TCP,517393
25.3,TCP,504247
25.4,TCP,350948
25.5,TCP,364174
25.6,TCP,621875
25.7,TCP,525367
25.8,TCP,556616
25.9,TCP,294850
26.0,TCP,3449
26.1,TCP,2360
26.2,TCP,2773
26.3,TCP,2450
26.4,TCP,3766
26.5,TCP,3513
26.6,TCP,431
26.7,UDP,88
27.7,UDP,132
28.3,TCP,1866
28.3,UDP,182
28.4,TCP,3130
28.9,TCP,54736
29.0,TCP,87044
29.1,TCP,70726
29.2,TCP,105324
31.4,TCP,148
31.5,TCP,8148
31.6,TCP,108
32.0,TCP,66
32.1,TCP,66
32.7,UDP,132
37.2,TCP,202
37.3,TCP,2462
39.8,TCP,3958
40.5,TCP,2061
40.6,TCP,2727
40.7,TCP,311
41.3,TCP,148
41.3,UDP,271
41.4,TCP,4775
41.5,TCP,1336
41.6,TCP,228
43.1,UDP,352
43.3,TCP,74
43.3,UDP,219
43.4,TCP,89287
43.5,TCP,54
43.6,TCP,337
43.7,TCP,54
44.0,TCP,18166
44.2,TCP,17032
44.3,TCP,1416
44.4,TCP,35620
44.5,TCP,31426
44.6,TCP,57362
44.7,TCP,106554
44.8,TCP,173564
44.9,TCP,209160
45.0,TCP,241158
45.1,TCP,436754
45.2,TCP,720052
45.3,TCP,147950
45.4,TCP,683286
45.5,TCP,773434
45.6,TCP,424502
45.7,TCP,753579
45.8,TCP,703795
45.9,TCP,710744
46.0,TCP,570053
46.1,TCP,528444
46.2,TCP,490054
46.3,TCP,460300
46.4,TCP,193895
46.5,TCP,534700
46.6,TCP,603448
46.7,TCP,701962
46.8,TCP,666636
