time,type,traffic_flow
0.0,TCP,239
0.3,TCP,54
0.8,TCP,131
1.3,TCP,85
1.9,TCP,131
3.8,TCP,131
7.8,TCP,131
15.8,TCP,131
21.5,TCP,139
21.6,TCP,54
21.7,TCP,139
22.9,UDP,70
23.0,TCP,74
23.0,UDP,565
23.1,TCP,74
23.1,UDP,578
23.2,UDP,76
23.3,TCP,519
23.3,UDP,1683
23.4,TCP,765
23.4,UDP,632
23.5,TCP,5863
23.6,TCP,6000
23.6,UDP,319
23.7,TCP,6755
23.7,UDP,492
23.8,TCP,1040
23.8,UDP,1438
23.9,TCP,5558
23.9,UDP,2446
24.0,TCP,12446
24.0,UDP,550
24.1,TCP,13777
24.1,UDP,159
24.2,TCP,10710
24.2,UDP,3261
24.3,TCP,19338
24.3,UDP,3398
24.4,TCP,17540
24.4,UDP,2366
24.5,TCP,48199
24.5,UDP,4092
24.6,TCP,51046
24.6,UDP,2422
24.7,TCP,44489
24.7,UDP,496
24.8,TCP,59380
24.8,UDP,4277
24.9,TCP,24461
24.9,UDP,77
25.0,TCP,10054
25.0,UDP,1469
25.1,TCP,13690
25.2,TCP,7185
25.3,TCP,13219
25.4,TCP,8561
25.5,TCP,52538
25.6,TCP,42664
25.7,TCP,99063
25.8,TCP,31053
25.9,TCP,160752
26.0,TCP,61170
26.1,TCP,93010
26.1,UDP,583
26.2,TCP,56105
26.2,UDP,845
26.3,TCP,29220
26.3,UDP,1283
26.4,TCP,74345
26.4,UDP,1690
26.5,TCP,65724
26.6,TCP,109658
26.6,UDP,576
26.7,TCP,85279
26.8,TCP,140292
26.9,TCP,87935
27.0,TCP,71517
27.1,TCP,67005
27.2,TCP,76675
27.3,TCP,77112
27.3,UDP,80
27.4,TCP,15396
27.4,UDP,600
27.5,TCP,21160
27.5,UDP,3197
27.6,TCP,79349
27.6,UDP,595
27.7,TCP,19921
27.8,TCP,25390
27.8,UDP,83
27.9,TCP,37591
27.9,UDP,172
28.0,TCP,24161
28.0,UDP,1211
28.1,TCP,103475
28.2,TCP,3860
28.3,TCP,34739
28.4,TCP,91092
28.5,TCP,51579
28.6,TCP,67155
28.6,UDP,75
28.7,TCP,52773
28.7,UDP,538
28.8,TCP,74824
28.9,TCP,51868
29.0,TCP,82170
29.1,TCP,43897
29.2,TCP,72032
29.2,UDP,766
29.3,TCP,26612
29.4,TCP,54478
29.5,TCP,4721
29.5,UDP,596
29.6,TCP,571
29.6,UDP,662
29.7,TCP,742
29.8,TCP,4825
29.9,TCP,43659
30.0,TCP,7283
30.1,TCP,83657
30.2,TCP,42486
30.3,TCP,89928
30.4,TCP,32526
30.4,UDP,845
30.5,TCP,50010
30.6,TCP,32456
30.7,TCP,1787
30.9,TCP,1148
30.9,UDP,613
31.0,TCP,1623
31.0,UDP,845
31.1,TCP,562
31.2,TCP,575
31.4,TCP,1895
31.5,TCP,54
31.6,TCP,108
31.7,TCP,702
32.1,TCP,14389
32.2,TCP,270
32.3,TCP,167
32.4,TCP,74
32.4,UDP,845
32.5,TCP,462
32.5,UDP,1240
32.6,TCP,1212
32.6,UDP,652
32.7,TCP,15369
32.8,TCP,1396
32.9,TCP,4587
33.0,TCP,3787
33.1,TCP,54
33.2,TCP,419
33.3,TCP,74
33.3,UDP,1047
33.4,TCP,120
33.5,TCP,327
33.6,TCP,133
33.7,TCP,2378
33.8,TCP,245
33.9,TCP,128
33.9,UDP,1047
34.0,TCP,120
34.1,TCP,944
34.2,TCP,245
34.3,TCP,108
34.3,UDP,725
34.4,TCP,202
34.4,UDP,725
34.5,TCP,1382
34.6,TCP,11780
34.7,TCP,11438
34.8,TCP,9373
34.9,TCP,36696
35.0,TCP,21061
35.1,TCP,10115
35.2,TCP,425
35.3,TCP,669
35.4,UDP,77
35.5,TCP,534
35.5,UDP,1126
35.6,TCP,1850
35.7,TCP,1506
35.8,TCP,799
35.9,TCP,4576
36.0,TCP,54
36.1,TCP,886
36.1,UDP,613
36.2,TCP,745
36.3,TCP,562
36.4,TCP,1388
36.4,UDP,73
36.5,TCP,54
