time,type,traffic_flow
0.0,TCP,3423
0.1,TCP,174
1.0,TCP,3541
1.1,TCP,54
3.2,TCP,74
3.3,TCP,2014
3.4,TCP,445
18.4,TCP,379
19.3,TCP,373
49.2,TCP,576
49.3,TCP,6623
49.4,TCP,293
49.5,TCP,85
50.0,TCP,85
51.0,TCP,85
59.4,TCP,139
59.5,TCP,174
83.8,TCP,91
83.9,TCP,145
90.2,TCP,139
94.1,TCP,139
96.1,TCP,139
103.8,TCP,54
104.0,TCP,139
104.1,TCP,54
104.3,TCP,54
104.8,TCP,54
105.8,TCP,54
106.1,TCP,139
115.3,TCP,1078
115.4,TCP,54
115.7,TCP,993
115.9,TCP,1607
116.0,TCP,74
116.1,TCP,2586
116.2,TCP,54
116.4,TCP,1358
116.7,TCP,822
116.8,TCP,228
116.9,TCP,54
120.2,TCP,1989
120.3,TCP,709
120.4,UDP,150
120.5,UDP,560
120.7,UDP,638
122.7,UDP,279
124.5,TCP,140
124.6,TCP,910
124.7,TCP,576
124.7,UDP,279
124.8,TCP,54
126.7,UDP,279
128.2,TCP,97
128.4,TCP,97
128.5,TCP,5532
128.6,TCP,1989
128.7,TCP,516
128.7,UDP,279
128.9,TCP,194
129.0,TCP,856
129.1,TCP,576
129.2,TCP,151
130.2,TCP,97
130.7,UDP,142
130.8,UDP,137
131.8,TCP,1989
131.9,TCP,108
132.0,UDP,615
132.1,UDP,1229
132.2,TCP,97
132.3,UDP,806
132.4,UDP,1482
132.5,UDP,994
132.6,UDP,1687
132.7,UDP,2850
132.8,UDP,1488
132.9,UDP,3363
133.0,UDP,1732
133.1,UDP,2623
133.2,TCP,97
133.2,UDP,2039
133.3,TCP,996
133.3,UDP,3292
133.4,TCP,54
133.4,UDP,2486
133.5,TCP,662
133.5,UDP,2788
133.6,UDP,1622
133.7,UDP,1588
133.8,UDP,1821
133.9,UDP,1377
134.0,UDP,1536
134.1,UDP,1280
134.2,UDP,2745
134.3,UDP,2268
134.4,UDP,2276
134.5,UDP,2102
134.6,UDP,1588
134.7,UDP,2155
134.8,UDP,1487
134.9,UDP,1535
135.0,UDP,1604
135.1,UDP,1643
135.2,UDP,1341
135.3,UDP,1890
135.4,UDP,2194
135.5,UDP,2558
135.6,UDP,2196
135.7,UDP,2031
135.8,UDP,1715
135.9,UDP,1835
136.0,UDP,1686
136.1,TCP,993
136.1,UDP,1326
136.2,TCP,560
136.2,UDP,1363
136.3,TCP,54
136.3,UDP,2046
136.4,UDP,2313
136.5,UDP,2554
136.6,UDP,1404
136.7,UDP,1885
136.8,UDP,783
136.9,TCP,2439
136.9,UDP,641
137.0,UDP,6644
