time,type,traffic_flow
0.0,TCP,373
3.0,UDP,80
3.1,TCP,5528
3.1,UDP,528
3.2,TCP,1490
3.3,TCP,445
3.7,TCP,54
4.3,TCP,54
5.4,TCP,54
6.3,TCP,163
6.4,TCP,210
13.3,TCP,313
101.6,TCP,236
103.1,TCP,184
103.2,TCP,54
103.3,TCP,262
114.3,UDP,352
114.4,TCP,5555
114.5,TCP,610
119.5,TCP,54
119.7,TCP,54
126.7,TCP,68
127.0,TCP,68
127.4,TCP,68
128.0,TCP,68
128.6,TCP,54
128.7,TCP,1519
128.8,TCP,534
128.9,TCP,54
129.2,TCP,54
129.3,TCP,68
129.8,TCP,54
130.9,TCP,54
132.0,TCP,68
133.8,TCP,54
133.9,TCP,54
137.3,TCP,68
147.9,TCP,68
148.4,TCP,139
149.6,TCP,139
151.8,TCP,97
152.0,TCP,97
152.2,TCP,97
152.8,TCP,97
153.7,TCP,97
155.6,TCP,97
155.7,TCP,3542
155.8,TCP,54
156.7,TCP,1741
156.8,TCP,1874
156.8,UDP,359
156.9,UDP,236
157.0,UDP,1050
160.0,UDP,1200
161.9,UDP,150
163.0,UDP,1350
164.5,UDP,150
166.0,UDP,1350
167.7,TCP,1750
167.8,TCP,1843
168.7,TCP,1413
168.8,TCP,2301
169.0,TCP,68
177.7,TCP,54
178.0,TCP,54
178.4,TCP,54
179.1,TCP,54
180.5,TCP,54
210.0,TCP,54
210.2,TCP,54
210.5,TCP,54
210.9,TCP,863
211.0,TCP,54
211.3,TCP,68
211.4,TCP,935
211.5,TCP,275
212.1,TCP,54
220.6,TCP,633
220.7,TCP,54
221.0,TCP,532
240.0,TCP,163
246.3,TCP,163
300.6,TCP,214
302.7,TCP,1033
303.3,TCP,139
342.8,TCP,254
343.0,TCP,262
391.6,UDP,85
391.7,TCP,1188
391.7,UDP,476
391.8,TCP,1043
391.9,TCP,347
401.9,TCP,379
402.0,TCP,54
