time,type,traffic_flow
0.0,TCP,8595
0.1,TCP,4762
0.2,TCP,551
0.3,TCP,200
0.4,TCP,54
0.5,TCP,262
0.7,TCP,250
1.6,TCP,250
11.7,TCP,133
11.8,TCP,54
26.0,TCP,54
26.2,TCP,54
26.3,TCP,174
26.8,TCP,580
26.9,TCP,54
27.2,TCP,534
29.2,TCP,133
29.3,TCP,187
29.4,TCP,54
34.1,TCP,1906
34.2,TCP,556
34.3,TCP,54
34.4,TCP,295
34.6,TCP,7919
34.8,TCP,552
34.9,TCP,54
35.3,TCP,333
35.4,TCP,108
35.6,TCP,208
35.8,TCP,54
39.0,TCP,56
39.3,TCP,56
39.5,TCP,56
40.0,TCP,56
41.1,TCP,56
43.1,TCP,195
43.2,TCP,54
43.3,TCP,186
43.4,TCP,151
44.8,TCP,133
45.0,TCP,186
45.1,TCP,1231
45.9,TCP,133
46.0,TCP,54
46.4,TCP,634
46.5,TCP,480
46.6,TCP,54
