time,type,traffic_flow
0.0,UDP,136
6.1,UDP,613
6.2,TCP,1435
6.3,UDP,553
6.4,TCP,108
22.4,TCP,4269
22.4,UDP,713
22.5,TCP,9857
22.5,UDP,1184
22.6,TCP,120
23.5,TCP,74
25.5,TCP,148
25.5,UDP,1279
25.6,TCP,13119
25.7,TCP,2963
25.7,UDP,81
25.8,TCP,74
25.8,UDP,574
25.9,TCP,5844
26.0,TCP,2988
26.8,TCP,1918
26.8,UDP,2533
26.9,TCP,22535
26.9,UDP,1341
27.0,TCP,2962
27.1,TCP,9279
27.2,TCP,6638
27.2,UDP,161
27.3,TCP,6642
27.3,UDP,3964
27.4,TCP,2613
27.4,UDP,4737
27.5,TCP,29918
27.6,TCP,16783
27.7,TCP,8124
27.9,UDP,78
28.0,TCP,5307
28.0,UDP,572
28.1,TCP,228
28.3,TCP,1183
28.4,TCP,6667
28.4,UDP,79
28.5,UDP,397
28.6,TCP,8428
28.7,TCP,1109
29.1,TCP,222
29.1,UDP,2634
29.2,TCP,5814
29.2,UDP,1158
29.3,TCP,9050
29.4,TCP,54
29.8,TCP,140
29.8,UDP,592
29.9,TCP,10729
30.0,TCP,5295
34.6,TCP,54
34.7,TCP,54
36.2,UDP,613
36.3,TCP,5399
39.8,TCP,951
39.8,UDP,472
42.5,TCP,139
42.6,TCP,174
43.0,TCP,11785
43.0,UDP,5552
43.1,TCP,30578
43.1,UDP,6352
43.2,TCP,11511
43.3,TCP,7225
43.4,TCP,35745
43.5,TCP,49667
43.5,UDP,797
43.6,TCP,48914
43.6,UDP,1338
43.7,TCP,30615
43.8,TCP,1710
45.5,UDP,4077
45.6,TCP,45923
45.6,UDP,2628
45.7,TCP,12737
45.8,TCP,100025
45.8,UDP,1184
45.9,TCP,27744
46.0,TCP,32854
46.0,UDP,796
46.1,TCP,54543
46.1,UDP,1967
46.2,TCP,41621
46.3,TCP,9947
46.4,TCP,11204
46.5,TCP,54
46.6,TCP,1157
46.6,UDP,1015
46.7,TCP,12954
46.7,UDP,491
46.8,TCP,8515
47.1,TCP,9937
48.1,TCP,702
48.2,TCP,1389
48.3,TCP,7169
48.4,TCP,52007
48.5,TCP,41862
48.5,UDP,592
48.6,TCP,5234
48.7,TCP,174
48.7,UDP,586
48.8,TCP,140
48.8,UDP,4058
48.9,TCP,6231
49.0,TCP,9202
50.6,TCP,3490
51.2,TCP,280
52.0,TCP,220
52.7,TCP,7515
54.2,UDP,467
54.3,TCP,6032
54.3,UDP,74
54.4,TCP,874
56.4,TCP,249
56.5,TCP,346
56.8,TCP,220
57.4,TCP,397
57.4,UDP,541
57.5,TCP,794
58.5,TCP,220
59.4,TCP,527
59.6,TCP,276
60.0,TCP,260
60.2,TCP,220
60.5,TCP,602
60.6,TCP,461
60.7,TCP,1182
61.7,TCP,598
61.8,TCP,367
62.0,TCP,145
62.1,TCP,66
62.2,TCP,160
62.4,TCP,170
62.6,TCP,357
62.8,TCP,181
63.0,TCP,181
63.1,TCP,286
63.2,TCP,428
63.4,TCP,181
63.6,TCP,341
63.8,TCP,538
64.0,TCP,296
64.1,TCP,220
64.2,TCP,296
64.4,TCP,296
64.5,TCP,372
64.6,TCP,296
64.7,TCP,205
64.8,TCP,571
65.0,TCP,181
65.1,TCP,592
65.2,TCP,181
65.3,TCP,205
65.4,TCP,282
65.6,TCP,181
65.7,TCP,372
65.8,TCP,289
66.0,TCP,283
66.2,TCP,181
66.3,UDP,75
66.4,TCP,6903
66.4,UDP,538
66.5,TCP,66
66.6,TCP,181
66.8,TCP,181
67.0,TCP,398
67.2,TCP,570
67.4,TCP,582
67.6,TCP,296
67.8,TCP,404
68.0,TCP,181
68.2,TCP,181
68.4,TCP,401
68.6,TCP,181
68.8,TCP,181
69.0,TCP,966
69.2,TCP,356
69.4,TCP,582
69.6,TCP,296
69.8,TCP,181
70.0,TCP,181
70.2,TCP,275
70.4,TCP,510
70.6,TCP,296
70.8,TCP,296
71.0,TCP,181
71.2,TCP,181
71.4,TCP,335
71.5,TCP,66
71.6,TCP,181
71.8,TCP,181
72.0,TCP,181
72.2,TCP,181
72.4,TCP,544
72.5,TCP,66
73.0,TCP,172
73.2,TCP,66
73.4,TCP,220
74.5,TCP,220
75.5,TCP,220
76.5,TCP,220
77.5,TCP,220
78.5,TCP,220
78.6,TCP,189
79.5,TCP,220
79.6,TCP,277
80.5,TCP,801
80.6,TCP,522
81.6,TCP,220
81.9,TCP,372
82.2,TCP,306
82.3,TCP,66
82.5,TCP,367
82.6,TCP,344
82.8,TCP,301
82.9,TCP,66
83.0,TCP,181
83.2,TCP,181
83.4,TCP,181
83.6,TCP,401
83.8,TCP,341
84.0,TCP,538
84.2,TCP,362
84.4,TCP,362
84.5,TCP,220
84.6,TCP,296
84.8,TCP,481
84.9,TCP,385
85.0,TCP,468
85.2,TCP,296
85.4,TCP,362
85.6,TCP,582
85.8,TCP,296
85.9,TCP,372
86.0,TCP,656
86.2,TCP,553
86.4,TCP,181
86.6,TCP,220
87.2,TCP,319
87.4,TCP,1027
87.5,TCP,139
87.6,TCP,605
87.7,TCP,220
87.8,TCP,181
88.0,TCP,181
88.2,TCP,181
88.4,TCP,577
88.6,TCP,181
88.7,TCP,274
88.8,TCP,235
89.0,TCP,548
89.2,TCP,482
89.3,TCP,66
89.4,TCP,181
89.6,TCP,181
89.7,TCP,220
89.8,TCP,181
89.9,TCP,2487
89.9,UDP,541
90.0,TCP,4877
90.1,TCP,132
90.2,TCP,296
90.4,TCP,404
90.6,TCP,181
90.7,TCP,220
90.8,TCP,181
91.0,TCP,181
91.2,TCP,181
91.4,TCP,181
91.6,TCP,305
91.7,TCP,220
91.8,TCP,176
91.9,TCP,54
92.0,TCP,345
92.1,TCP,436
92.2,TCP,291
92.4,TCP,291
92.6,TCP,291
92.7,TCP,220
92.8,TCP,176
93.0,TCP,250
93.0,UDP,541
93.1,TCP,562
93.2,TCP,731
93.4,TCP,176
93.6,TCP,176
93.7,TCP,220
93.8,TCP,176
94.0,TCP,176
94.2,TCP,176
94.4,TCP,176
94.6,TCP,176
94.7,TCP,220
94.8,TCP,176
95.0,TCP,176
95.2,TCP,176
95.4,TCP,176
95.6,TCP,176
95.7,TCP,220
95.8,TCP,388
96.0,TCP,612
96.2,TCP,181
96.4,TCP,458
96.5,TCP,1435
96.5,UDP,613
96.6,TCP,181
96.7,TCP,328
96.8,TCP,181
97.0,TCP,181
97.2,TCP,526
97.4,TCP,181
97.6,TCP,181
97.7,TCP,220
97.8,TCP,181
98.0,TCP,181
98.2,TCP,176
98.3,TCP,372
98.4,TCP,176
98.6,TCP,548
98.7,TCP,220
98.8,TCP,176
99.0,TCP,176
99.1,TCP,139
99.1,UDP,77
99.2,TCP,8677
99.2,UDP,593
99.4,TCP,261
99.6,TCP,176
99.7,TCP,220
99.8,TCP,261
100.0,TCP,350
100.1,TCP,789
100.2,TCP,355
100.4,TCP,419
100.6,TCP,266
100.8,TCP,532
101.0,TCP,181
101.2,TCP,390
101.3,TCP,372
101.6,TCP,367
101.8,TCP,220
101.9,TCP,205
102.0,TCP,80
102.1,TCP,245
102.2,TCP,372
102.3,TCP,85
102.5,TCP,372
102.8,TCP,686
102.9,TCP,456
103.0,TCP,245
103.8,TCP,154
103.9,TCP,66
104.3,TCP,426
104.4,TCP,54
104.6,TCP,372
104.8,TCP,1513
104.9,TCP,66
105.0,TCP,289
105.8,TCP,220
106.1,TCP,372
106.4,TCP,372
106.6,TCP,1361
106.8,TCP,507
107.8,TCP,220
108.2,TCP,372
108.5,TCP,372
108.6,TCP,140
108.8,TCP,460
108.9,TCP,66
109.4,TCP,372
109.7,TCP,372
109.8,TCP,182
109.9,TCP,146
110.8,TCP,220
111.0,TCP,1141
111.2,TCP,371
111.4,TCP,181
111.6,TCP,543
111.8,TCP,724
111.9,TCP,220
112.0,TCP,592
112.2,TCP,592
112.4,TCP,867
112.6,TCP,932
112.8,TCP,1174
113.0,TCP,966
113.2,TCP,1086
113.4,TCP,1086
113.6,TCP,1086
113.8,TCP,1108
114.0,TCP,888
114.2,TCP,822
114.4,TCP,822
114.6,TCP,930
114.8,TCP,861
114.9,TCP,66
115.0,TCP,526
115.2,TCP,592
115.4,TCP,803
115.6,TCP,526
115.8,TCP,1029
115.9,TCP,66
116.0,TCP,641
116.2,TCP,707
116.4,TCP,707
116.6,TCP,707
116.8,TCP,861
117.0,TCP,712
117.2,TCP,646
117.4,TCP,646
117.6,TCP,754
117.8,TCP,680
117.9,TCP,66
118.0,TCP,592
118.2,TCP,592
118.4,TCP,658
118.6,TCP,526
118.8,TCP,729
118.9,TCP,146
119.0,TCP,526
119.2,TCP,712
119.4,TCP,646
119.6,TCP,641
119.8,TCP,795
119.9,TCP,66
120.0,TCP,773
120.2,TCP,641
120.4,TCP,707
120.6,TCP,641
120.8,TCP,707
120.9,TCP,220
121.0,TCP,707
121.2,TCP,641
121.4,TCP,641
121.6,TCP,707
121.8,TCP,641
121.9,TCP,220
122.0,TCP,707
122.2,TCP,805
122.4,TCP,592
122.6,TCP,991
122.8,TCP,509
122.9,TCP,220
123.0,TCP,394
123.1,TCP,54
123.2,TCP,235
123.4,TCP,181
123.6,TCP,279
123.8,TCP,697
123.9,TCP,220
124.0,TCP,181
