time,type,traffic_flow
0.0,TCP,54
2.0,TCP,444
2.7,UDP,98
2.8,TCP,5383
2.8,UDP,1998
2.9,TCP,1540
3.1,TCP,573
3.5,TCP,93
3.6,TCP,147
4.0,TCP,108
5.0,TCP,324
6.1,TCP,54
7.2,TCP,139
7.3,TCP,108
8.8,TCP,469
8.9,TCP,54
10.9,TCP,54
11.0,TCP,54
11.7,TCP,839
11.7,UDP,347
11.8,TCP,9623
11.9,TCP,8385
12.0,TCP,54
12.2,TCP,390
14.0,TCP,54
14.3,TCP,216
15.7,TCP,216
15.8,TCP,216
16.5,TCP,94
16.6,TCP,148
18.4,TCP,108
19.9,TCP,445
20.0,TCP,54
20.4,TCP,54
21.4,TCP,54
21.5,TCP,54
22.5,TCP,108
23.6,TCP,240
24.6,TCP,54
30.2,TCP,242
33.1,TCP,445
33.2,TCP,54
34.9,TCP,773
34.9,UDP,241
35.0,TCP,7437
35.1,TCP,863
35.4,TCP,773
35.4,UDP,247
35.5,TCP,11331
35.6,TCP,2073
35.7,TCP,1085
35.7,UDP,187
35.8,TCP,2756
35.9,TCP,582
36.0,TCP,354
36.1,TCP,2842
37.9,TCP,1574
38.0,TCP,1440
38.8,TCP,194
38.8,UDP,424
38.9,TCP,9478
38.9,UDP,211
39.0,TCP,5650
39.1,TCP,281
39.4,TCP,74
39.4,UDP,211
39.5,TCP,6461
39.6,TCP,217
39.7,TCP,9951
39.8,TCP,12374
39.9,TCP,9304
40.0,TCP,724
40.1,TCP,5605
40.2,TCP,658
43.0,TCP,198
43.1,TCP,66
43.6,TCP,240
44.0,TCP,132
44.8,TCP,214
44.9,TCP,214
45.0,TCP,362
45.1,TCP,2022
45.2,TCP,82862
45.3,TCP,529332
45.4,TCP,705262
45.5,TCP,820440
45.6,TCP,683290
45.7,TCP,725638
45.8,TCP,808064
45.9,TCP,704336
46.0,TCP,512700
46.1,TCP,824298
46.2,TCP,748764
46.3,TCP,650438
46.4,TCP,569742
46.5,TCP,870272
46.6,TCP,686876
46.7,TCP,591798
46.8,TCP,290028
46.9,TCP,517244
47.0,TCP,620444
47.1,TCP,574484
47.2,TCP,676336
47.3,TCP,556336
47.4,TCP,714282
47.5,TCP,811250
47.6,TCP,453518
47.7,TCP,677500
47.8,TCP,396438
47.9,TCP,297292
48.0,TCP,228880
48.1,TCP,287690
48.2,TCP,542920
48.3,TCP,572066
48.4,TCP,464270
48.5,TCP,297900
48.6,TCP,706466
48.7,TCP,92976
48.8,TCP,522170
48.9,TCP,317090
49.0,TCP,282910
49.1,TCP,379336
49.2,TCP,742970
49.3,TCP,586042
49.4,TCP,267364
49.5,TCP,546102
49.6,TCP,455422
49.7,TCP,405644
49.8,TCP,253364
49.9,TCP,412324
50.0,TCP,514822
50.1,TCP,694418
50.2,TCP,703261
50.3,TCP,867340
50.4,TCP,749730
50.5,TCP,484186
50.6,TCP,844129
50.7,TCP,599790
50.8,TCP,730964
50.9,TCP,414134
51.0,TCP,1175862
51.1,TCP,689120
51.2,TCP,809244
51.3,TCP,747312
51.4,TCP,738106
51.5,TCP,725110
51.6,TCP,802784
51.7,TCP,675176
51.8,TCP,840055
51.9,TCP,697784
52.0,TCP,763966
52.1,TCP,601577
52.2,TCP,798934
52.3,TCP,764732
52.4,TCP,566545
52.5,TCP,570850
52.6,TCP,703242
52.7,TCP,997880
52.8,TCP,725426
52.9,TCP,789020
53.0,TCP,718294
53.1,TCP,744922
53.2,TCP,662496
53.3,TCP,813508
53.4,TCP,622066
53.5,TCP,637706
53.6,TCP,804806
53.7,TCP,473396
53.8,TCP,1035416
53.9,TCP,708918
54.0,TCP,885026
54.1,TCP,729968
54.2,TCP,746720
54.3,TCP,650660
54.4,TCP,818421
54.5,TCP,684212
54.6,TCP,754921
54.7,TCP,635392
54.8,TCP,500956
54.9,TCP,644710
55.0,TCP,487351
55.1,TCP,721632
55.2,TCP,823306
55.3,TCP,458624
55.4,TCP,156950
55.5,TCP,17316
55.6,TCP,191102
55.7,TCP,174148
55.8,TCP,125840
55.9,TCP,130532
56.0,TCP,123082
56.1,TCP,89554
56.2,TCP,109634
56.3,TCP,104862
56.4,TCP,94798
56.4,UDP,74
56.5,TCP,87516
56.5,UDP,104
56.6,TCP,101837
56.7,TCP,93013
56.8,TCP,103980
56.9,TCP,101800
57.0,TCP,91472
57.1,TCP,103398
57.2,TCP,101866
57.3,TCP,97270
57.4,TCP,101932
57.5,TCP,97204
57.6,TCP,103332
57.7,TCP,101800
57.8,TCP,100400
57.9,TCP,96002
58.0,TCP,99666
58.1,TCP,92642
58.2,TCP,88214
58.3,TCP,107928
58.4,TCP,101734
58.5,TCP,100268
58.6,TCP,97402
58.7,TCP,101866
58.8,TCP,8042
58.9,TCP,171574
59.0,TCP,21284
59.1,TCP,138120
59.2,TCP,42456
59.3,TCP,924
59.4,TCP,182166
59.5,TCP,2742
59.6,TCP,132
59.7,TCP,89504
59.8,TCP,105692
59.9,TCP,103596
60.0,TCP,98934
60.1,TCP,97468
60.2,TCP,106338
60.2,UDP,275
60.3,TCP,99665
60.4,TCP,102952
60.5,TCP,90719
60.6,TCP,81784
60.7,TCP,107578
60.8,TCP,100334
60.9,TCP,101932
61.0,TCP,94470
61.1,TCP,106198
61.2,TCP,95936
61.3,TCP,104798
61.4,TCP,97402
61.5,TCP,100202
61.6,TCP,101734
61.7,TCP,98736
61.8,TCP,101866
61.9,TCP,97468
62.0,TCP,100400
62.1,TCP,95114
62.2,TCP,90162
62.3,TCP,98644
62.4,TCP,101668
62.5,TCP,101800
62.6,TCP,101800
62.7,TCP,95738
62.8,TCP,103398
62.9,TCP,97402
63.0,TCP,100400
63.1,TCP,94404
63.2,TCP,104864
63.3,TCP,95445
63.4,TCP,95862
63.5,TCP,97260
63.6,TCP,97825
63.7,TCP,100415
63.8,TCP,104798
63.9,TCP,100268
64.0,TCP,94470
64.1,TCP,107598
64.2,TCP,94272
64.3,TCP,78972
64.4,TCP,97082
64.5,TCP,106198
64.6,TCP,98934
64.7,TCP,106330
64.8,TCP,98802
64.9,TCP,96200
65.0,TCP,106330
65.1,TCP,94470
65.2,TCP,94338
65.3,TCP,109130
65.4,TCP,97552
65.5,TCP,82542
65.6,TCP,100100
65.7,TCP,100845
65.8,TCP,103781
65.9,TCP,81704
65.9,UDP,80
66.0,TCP,52037
66.0,UDP,116
66.1,TCP,7073
66.2,TCP,66
66.8,TCP,66
66.9,TCP,66
71.1,TCP,66
71.2,TCP,66
75.2,TCP,242
75.8,TCP,132
76.4,TCP,54
76.5,TCP,54
83.8,TCP,240
84.6,UDP,431
84.7,TCP,4788
84.7,UDP,231
84.8,TCP,93887
84.9,TCP,3048
84.9,UDP,231
85.0,TCP,9156
85.1,TCP,54
85.4,TCP,111387
85.5,TCP,9419
85.5,UDP,473
85.6,TCP,93871
85.6,UDP,1247
85.7,TCP,272154
85.7,UDP,489
85.8,TCP,35711
85.8,UDP,306
85.9,TCP,12800
86.0,TCP,227560
86.1,TCP,16324
86.1,UDP,74
86.2,TCP,54621
86.2,UDP,388
86.3,TCP,9686
86.4,TCP,904
86.5,TCP,433
86.7,TCP,66
86.8,TCP,66
87.2,TCP,132
88.1,TCP,66
88.2,TCP,66
89.9,TCP,66
90.0,TCP,66
90.0,UDP,67
90.1,TCP,8179
90.1,UDP,247
90.2,TCP,44507
90.2,UDP,157
90.3,TCP,36169
90.4,TCP,14301
90.4,UDP,74
90.5,TCP,17054
90.5,UDP,402
90.6,TCP,241486
90.6,UDP,960
90.7,TCP,578160
90.8,TCP,53569
90.9,TCP,797
90.9,UDP,206
91.0,TCP,24034
91.0,UDP,477
91.1,TCP,3084
91.3,TCP,14623
91.3,UDP,473
91.4,TCP,113223
91.4,UDP,711
91.5,TCP,577434
91.5,UDP,166
91.6,TCP,750402
91.6,UDP,221
91.7,TCP,269586
91.8,TCP,29343
91.9,TCP,874
92.0,TCP,3557
92.1,TCP,18785
92.2,TCP,14808
92.2,UDP,530
92.3,TCP,146276
92.3,UDP,188
92.4,TCP,64103
92.5,TCP,41738
92.5,UDP,631
92.6,TCP,59544
92.6,UDP,2959
92.7,TCP,44690
92.7,UDP,497
92.8,TCP,170591
92.8,UDP,807
92.9,TCP,159287
92.9,UDP,219
93.0,TCP,54976
93.1,TCP,34764
93.1,UDP,284
93.2,TCP,86876
93.2,UDP,74
93.3,TCP,131684
93.3,UDP,764
93.4,TCP,127518
93.4,UDP,349
93.5,TCP,210743
93.6,TCP,2571
93.9,TCP,66
94.8,TCP,1165
94.9,TCP,225866
95.6,TCP,4638
95.6,UDP,1115
95.7,TCP,50798
95.7,UDP,636
95.8,TCP,9420
95.9,TCP,14198
96.1,TCP,28442
96.1,UDP,400
96.2,TCP,14837
96.5,TCP,28294
96.6,TCP,13623
96.6,UDP,247
96.7,TCP,9724
96.7,UDP,533
96.8,TCP,236182
96.9,TCP,78238
96.9,UDP,275
97.0,TCP,123897
97.1,TCP,288996
97.2,TCP,28555
97.3,TCP,31832
97.4,TCP,29621
97.5,TCP,851
97.5,UDP,324
97.6,TCP,12131
97.6,UDP,414
97.7,TCP,3729
97.8,TCP,40851
97.8,UDP,439
97.9,TCP,107048
97.9,UDP,311
98.0,TCP,38983
98.1,TCP,101102
98.2,TCP,66
99.6,TCP,1171
99.6,UDP,302
99.7,TCP,8778
99.7,UDP,164
99.8,TCP,108
100.2,TCP,366
100.3,TCP,330
100.4,TCP,66
100.8,TCP,174
101.1,TCP,54
101.2,TCP,54
101.3,TCP,282
101.3,UDP,70
101.4,TCP,765
101.4,UDP,848
101.5,TCP,6338
101.6,TCP,29193
101.7,TCP,10529
101.7,UDP,254
101.8,TCP,22883
101.9,TCP,13271
101.9,UDP,74
102.0,TCP,47649
102.0,UDP,709
102.1,TCP,407426
102.2,TCP,359684
102.3,TCP,5003
102.3,UDP,462
102.4,TCP,10434
102.4,UDP,268
102.5,TCP,1612
102.5,UDP,286
102.6,TCP,7917
102.6,UDP,262
102.7,TCP,7395
102.8,TCP,8676
102.8,UDP,342
102.9,TCP,18162
102.9,UDP,528
103.0,TCP,2258
103.1,TCP,3316
103.2,TCP,2594
103.3,TCP,13147
103.4,TCP,2346
103.5,TCP,2889
103.6,TCP,781
103.7,TCP,2192
103.7,UDP,271
103.8,TCP,9776
103.9,TCP,1695
104.0,TCP,1579
104.1,TCP,1760
104.2,TCP,1648
104.3,TCP,1631
104.4,TCP,1587
104.5,TCP,1588
104.6,TCP,1607
104.7,TCP,2111
104.8,TCP,1579
104.9,TCP,1601
105.0,TCP,1615
105.1,TCP,969
105.2,TCP,66968
105.2,UDP,276
105.3,TCP,161832
105.3,UDP,926
105.4,TCP,53901
105.4,UDP,335
105.5,TCP,68838
105.6,TCP,1075
105.7,TCP,54
105.9,TCP,694
106.0,TCP,2707
106.1,TCP,2821
106.6,TCP,278
106.7,TCP,422
106.7,UDP,734
106.8,TCP,6348
106.9,TCP,30637
107.0,TCP,2179
107.0,UDP,248
107.1,TCP,34967
107.2,TCP,1755
107.2,UDP,1200
107.3,TCP,19767
107.3,UDP,551
107.4,TCP,50244
107.4,UDP,399
107.5,TCP,72682
107.6,TCP,98881
107.7,TCP,83608
107.8,TCP,92026
107.9,TCP,54097
108.1,TCP,236
108.1,UDP,563
108.2,TCP,43896
108.3,TCP,12166
108.4,TCP,57377
108.5,TCP,7370
108.6,TCP,270
108.7,TCP,270
109.0,TCP,108
109.5,TCP,97
109.9,TCP,765
109.9,UDP,313
110.0,TCP,4789
110.1,TCP,2489
110.2,TCP,54
110.5,TCP,66
110.8,TCP,108
110.9,TCP,324
111.2,TCP,216
111.7,TCP,313
112.0,UDP,71
112.1,UDP,585
112.2,TCP,50852
112.3,TCP,4636
112.3,UDP,227
112.4,TCP,55341
112.5,TCP,942
112.5,UDP,156
112.6,TCP,220820
112.6,UDP,278
112.7,TCP,19503
112.7,UDP,77
112.8,TCP,88120
112.8,UDP,402
112.9,TCP,708656
113.0,TCP,765371
113.1,TCP,768733
113.2,TCP,764502
113.3,TCP,404339
113.4,TCP,858251
113.5,TCP,153551
113.6,TCP,45298
113.7,TCP,18557
113.8,TCP,1529
113.9,TCP,1595
114.0,TCP,18185
114.1,TCP,1542
114.2,TCP,1039
114.3,TCP,37636
114.4,TCP,1943
114.4,UDP,187
114.5,TCP,3554
114.5,UDP,197
114.6,TCP,21088
114.7,TCP,9803
114.7,UDP,277
114.8,TCP,7015
114.9,TCP,276
115.0,TCP,331
115.1,TCP,228
115.6,TCP,174
116.1,TCP,54
116.2,TCP,120
116.3,TCP,108
116.5,TCP,108
116.6,TCP,66
116.7,TCP,108
117.3,TCP,732
117.4,TCP,97
117.5,TCP,1752
117.6,TCP,186
117.7,TCP,54
118.0,TCP,156
118.1,TCP,210
118.6,TCP,66
118.8,UDP,71
118.9,UDP,1204
119.0,TCP,476
119.0,UDP,391
119.1,TCP,1707
119.2,TCP,6360
119.3,TCP,9869
119.4,TCP,1424
119.4,UDP,391
119.5,TCP,1673
119.6,TCP,6915
119.7,TCP,11098
119.8,TCP,28987
119.8,UDP,373
119.9,TCP,219637
120.0,TCP,7692
120.2,TCP,242
120.4,TCP,51981
120.4,UDP,75
120.5,TCP,74282
120.5,UDP,319
120.6,TCP,32761
120.6,UDP,254
120.7,TCP,36874
120.7,UDP,361
120.8,TCP,27560
120.8,UDP,324
120.9,TCP,28831
121.0,TCP,9348
121.1,TCP,6065
121.2,TCP,32427
121.3,TCP,844
121.4,UDP,76
121.5,TCP,1193
121.5,UDP,330
121.6,TCP,7608
121.7,TCP,1682
122.5,TCP,720
122.6,TCP,66
123.1,TCP,1251
123.2,TCP,814
123.3,TCP,108
123.5,TCP,193
123.6,TCP,1070
123.7,TCP,162
