time,type,traffic_flow
4.4,TCP,139
4.7,TCP,139
6.3,TCP,139
7.3,TCP,139
17.6,TCP,2379
17.7,TCP,923
18.3,TCP,74
18.3,UDP,440
18.4,TCP,6273
18.5,TCP,422
19.4,TCP,1033
19.4,UDP,386
19.5,TCP,7963
19.6,TCP,7615
19.6,UDP,200
19.7,TCP,8621
19.8,TCP,566
20.0,TCP,342
20.0,UDP,543
20.1,TCP,15395
20.3,TCP,10931
20.4,TCP,54
21.9,TCP,2479
21.9,UDP,186
22.0,TCP,996
22.1,TCP,85
22.6,TCP,1658
22.6,UDP,205
22.7,TCP,11431
22.8,TCP,1485
22.8,UDP,168
22.9,TCP,996
23.0,TCP,7391
23.1,TCP,1400
23.2,TCP,7202
23.3,TCP,9467
23.4,TCP,87425
23.4,UDP,693
23.5,TCP,52725
23.5,UDP,181
23.6,TCP,38750
23.6,UDP,816
23.7,TCP,6368
23.7,UDP,259
23.8,TCP,5996
23.8,UDP,240
23.9,TCP,8022
24.0,TCP,1099
24.1,TCP,301
24.4,UDP,181
24.5,TCP,7393
24.6,TCP,7237
24.7,TCP,3282
24.8,UDP,285
25.3,UDP,181
25.8,UDP,132
26.2,UDP,466
26.7,TCP,139
26.8,TCP,139
26.8,UDP,132
27.1,UDP,181
27.4,TCP,1786
27.4,UDP,448
27.6,TCP,11552
27.7,TCP,25523
27.9,TCP,860
27.9,UDP,418
28.5,TCP,54
28.6,TCP,54
28.8,UDP,181
29.5,UDP,1408
30.0,TCP,247
30.1,TCP,139
30.2,UDP,54
31.1,UDP,54
31.4,TCP,54
31.6,TCP,120
32.3,TCP,827
32.4,TCP,6116
32.5,TCP,105
32.6,TCP,830
32.7,TCP,1266
32.8,TCP,282
32.8,UDP,54
32.9,TCP,404
33.0,TCP,7491
33.1,TCP,1743
33.2,TCP,6653
33.3,TCP,1508
33.4,TCP,2228
33.5,TCP,5520
33.6,TCP,1634
33.7,TCP,1435
33.8,TCP,4815
33.9,TCP,302
34.0,TCP,1128
34.1,TCP,22609
34.2,TCP,2527
34.3,TCP,1214
34.4,TCP,14164
34.4,UDP,54
34.5,TCP,2799
34.6,TCP,3985
34.6,UDP,112
34.7,TCP,7916
34.7,UDP,54
34.8,TCP,11717
34.8,UDP,1071
34.9,TCP,11015
35.0,TCP,861
35.0,UDP,54
35.5,UDP,54
36.4,UDP,54
37.8,TCP,534
37.9,TCP,16928
38.0,TCP,54
38.0,UDP,54
38.5,TCP,54
38.6,TCP,54
39.1,TCP,13911
39.2,TCP,4951
39.3,TCP,4411
39.4,TCP,17738
39.5,TCP,14482
39.6,TCP,8749
39.7,TCP,635
41.4,TCP,108
41.6,TCP,108
44.1,TCP,18912
44.2,TCP,23888
44.3,TCP,7882
44.4,TCP,2801
44.5,TCP,216
47.5,TCP,827
47.6,TCP,6790
47.7,TCP,3623
47.8,TCP,7512
47.9,TCP,1481
48.0,TCP,6943
48.1,TCP,2690
48.2,TCP,1103
48.5,TCP,350
48.6,TCP,8399
48.7,TCP,1820
48.8,TCP,827
48.9,TCP,2640
49.0,TCP,7512
49.1,TCP,13716
49.1,UDP,980
49.2,TCP,35632
49.2,UDP,1516
49.3,TCP,142211
49.3,UDP,32299
49.4,TCP,258020
49.4,UDP,29331
49.5,TCP,223411
49.5,UDP,256433
49.6,TCP,112308
49.6,UDP,470513
49.7,TCP,229016
49.7,UDP,466966
49.8,TCP,403330
49.8,UDP,267010
49.9,TCP,474787
49.9,UDP,206248
50.0,TCP,385206
50.0,UDP,93421
50.1,TCP,182008
50.1,UDP,346430
50.2,TCP,102501
50.2,UDP,644892
50.3,TCP,68033
50.3,UDP,627187
50.4,TCP,182122
50.4,UDP,379851
50.5,TCP,270796
50.5,UDP,64394
50.6,TCP,275796
50.6,UDP,114088
50.7,TCP,235203
50.7,UDP,4885
50.8,TCP,280004
50.8,UDP,5106
50.9,TCP,287980
50.9,UDP,4497
51.0,TCP,290188
51.0,UDP,4578
51.1,TCP,278970
51.1,UDP,6595
51.2,TCP,281030
51.2,UDP,7526
51.3,TCP,434534
51.3,UDP,41143
51.4,TCP,172535
51.4,UDP,3768
51.5,TCP,94722
51.5,UDP,11737
51.6,TCP,214192
51.6,UDP,1367
51.7,TCP,224392
51.8,TCP,237658
51.9,TCP,258216
51.9,UDP,237
52.0,TCP,226320
52.0,UDP,35447
52.1,TCP,119520
52.1,UDP,777571
52.2,TCP,124196
52.2,UDP,919900
52.3,TCP,230660
52.3,UDP,168162
52.4,TCP,223230
52.4,UDP,101267
52.5,TCP,258062
52.5,UDP,41122
52.6,TCP,248164
52.6,UDP,73469
52.7,TCP,127138
52.7,UDP,666438
52.8,TCP,124958
52.8,UDP,811416
52.9,TCP,174322
52.9,UDP,688933
53.0,TCP,248858
53.0,UDP,44684
53.1,TCP,210955
53.1,UDP,6377
53.2,TCP,108
53.2,UDP,47942
53.3,UDP,16646
53.4,UDP,2427
53.5,TCP,66
53.6,TCP,538
53.9,UDP,111
54.0,UDP,275
54.1,UDP,54
54.2,TCP,108
54.2,UDP,4731
54.3,TCP,379
54.3,UDP,2438
54.4,UDP,3430
54.5,UDP,1898
54.6,UDP,21053
54.7,UDP,712853
54.8,TCP,2406
54.8,UDP,840789
54.9,TCP,845
54.9,UDP,467073
55.0,TCP,66
55.0,UDP,80229
55.1,UDP,56321
55.2,UDP,93207
55.3,UDP,92659
55.4,UDP,42660
55.5,UDP,1859
55.6,UDP,1736
55.7,UDP,114
55.8,UDP,7504
55.9,UDP,10548
56.0,UDP,54
56.2,UDP,286
56.3,UDP,1266
56.4,TCP,139
56.4,UDP,174
56.6,UDP,250
56.7,UDP,1491
56.8,UDP,66
56.9,UDP,7590
57.0,UDP,25079
57.1,UDP,250
57.2,UDP,2584
57.3,TCP,108
57.3,UDP,205525
57.4,UDP,400385
57.5,UDP,780650
57.6,UDP,720808
57.7,UDP,112098
57.8,UDP,196979
57.9,UDP,36898
58.0,UDP,313683
58.1,UDP,859782
58.2,UDP,744986
58.3,UDP,273409
58.4,UDP,160374
58.5,UDP,10644
58.6,UDP,7778
58.7,UDP,111
58.9,UDP,3356
59.0,UDP,336
59.1,UDP,66
59.2,UDP,4590
59.3,TCP,108
59.3,UDP,103
59.4,TCP,108
59.4,UDP,29286
59.5,UDP,750819
59.6,UDP,1006359
59.7,UDP,285575
59.8,UDP,106640
59.9,UDP,21892
60.0,UDP,65972
