time,type,traffic_flow
0.0,UDP,104
1.2,TCP,471
3.6,TCP,74
3.6,UDP,681
3.7,TCP,7447
3.7,UDP,1042
3.8,TCP,25578
3.8,UDP,361
3.9,TCP,18013
3.9,UDP,1195
4.0,TCP,24324
4.0,UDP,796
4.1,TCP,15852
4.1,UDP,205
4.2,TCP,13953
4.2,UDP,546
4.3,TCP,8276
4.4,TCP,2619
4.4,UDP,280
4.5,TCP,6828
4.5,UDP,2045
4.6,TCP,44906
4.7,TCP,6426
4.8,TCP,656
4.9,TCP,3764
5.0,TCP,6101
5.0,UDP,211
5.1,TCP,10433
5.1,UDP,593
5.2,TCP,10977
5.3,TCP,5061
5.4,TCP,108
5.4,UDP,78
5.5,TCP,1424
5.5,UDP,210
5.6,TCP,446
6.3,TCP,1260
6.4,TCP,5588
6.5,TCP,5557
6.6,TCP,2017
7.5,TCP,1536
7.6,TCP,446
8.7,TCP,74
8.7,UDP,273
8.8,TCP,6087
8.9,TCP,1920
9.0,TCP,1584
9.0,UDP,310
9.1,TCP,22117
9.2,TCP,1423
9.2,UDP,342
9.3,TCP,4646
9.3,UDP,170
9.4,TCP,863
9.5,TCP,2699
9.6,TCP,132
9.9,TCP,1780
9.9,UDP,209
10.0,TCP,5967
10.1,TCP,6776
10.1,UDP,223
10.2,TCP,2164
10.3,TCP,765
10.3,UDP,273
10.4,TCP,7079
10.5,TCP,729
11.8,TCP,1456
11.8,UDP,341
11.9,TCP,446
12.3,UDP,1033
12.4,TCP,879
12.4,UDP,327
12.5,TCP,431
12.6,TCP,778
12.7,TCP,541
12.8,TCP,686
12.9,TCP,234
13.0,TCP,532
13.1,TCP,1371
13.2,TCP,765
13.2,UDP,196
13.3,TCP,4944
13.4,TCP,19101
13.5,TCP,270
13.6,TCP,399
13.7,TCP,481
13.8,TCP,234
13.9,TCP,644
14.0,TCP,3511
14.1,TCP,290
14.1,UDP,341
14.2,TCP,3165
14.3,TCP,623
14.5,UDP,342
14.6,TCP,4504
14.6,UDP,170
14.7,TCP,2941
14.8,TCP,4572
14.9,TCP,132
15.0,TCP,5809
15.0,UDP,224
15.1,TCP,54
15.2,TCP,638
15.8,TCP,74
15.9,TCP,1836
16.0,TCP,54
17.0,TCP,313
18.6,TCP,162
18.7,TCP,162
19.4,UDP,578
19.5,TCP,5021
19.6,TCP,1962
19.6,UDP,919
19.7,TCP,14928
19.7,UDP,578
19.8,TCP,7106
