time,type,traffic_flow
0.0,TCP,162
2.1,TCP,170
2.2,TCP,301
8.6,TCP,148
8.6,UDP,510
8.7,TCP,3853
8.7,UDP,1120
8.8,TCP,5997
8.8,UDP,290
8.9,TCP,4241
9.0,TCP,1686
9.0,UDP,708
9.1,TCP,17795
9.2,TCP,7620
9.3,TCP,6299
9.4,TCP,15934
9.5,TCP,20825
9.6,TCP,62265
9.7,TCP,113568
9.7,UDP,1792
9.8,TCP,790089
9.9,TCP,134600
9.9,UDP,533
10.0,TCP,3335
10.1,TCP,2118
11.1,TCP,2353
11.1,UDP,278
11.2,TCP,846
11.9,TCP,528
13.8,TCP,54
13.9,TCP,264
14.0,TCP,264
14.7,TCP,1338
14.8,TCP,5491
14.8,UDP,489
14.9,TCP,88046
15.0,TCP,142710
15.1,TCP,137966
15.2,TCP,160266
15.3,TCP,167118
15.4,TCP,168804
15.5,TCP,173232
15.6,TCP,172746
15.7,TCP,165832
15.8,TCP,182412
15.9,TCP,188274
16.0,TCP,190134
16.1,TCP,124050
18.0,TCP,264
18.1,TCP,264
19.2,TCP,2416
19.2,UDP,197
19.3,TCP,724
19.7,TCP,1099
19.9,TCP,66
20.1,TCP,396
20.3,TCP,1089
21.0,TCP,2306
21.0,UDP,533
21.1,TCP,3573
21.1,UDP,852
21.2,TCP,39516
21.5,TCP,162
21.6,TCP,1378
21.7,TCP,2983
22.1,TCP,198
22.2,TCP,198
22.7,TCP,74
22.7,UDP,475
22.9,TCP,74
23.0,TCP,649
23.2,TCP,5971
23.3,TCP,192
23.5,TCP,1044
23.6,TCP,1888
23.7,TCP,808
23.8,TCP,74
23.8,UDP,331
23.9,TCP,74
23.9,UDP,312
24.0,TCP,140
24.1,TCP,2103
24.1,UDP,420
24.2,TCP,6571
24.3,TCP,7293
24.4,TCP,5653
24.5,TCP,1268
24.6,TCP,961
24.7,TCP,1606
24.9,TCP,66
25.0,TCP,1247
25.1,TCP,198
26.2,TCP,198
26.3,TCP,198
27.2,TCP,942
27.4,TCP,538
27.5,TCP,66
27.7,TCP,74
27.7,UDP,421
27.8,TCP,5713
27.9,TCP,1407
28.0,TCP,2089
28.3,TCP,396
28.7,UDP,275
29.2,TCP,1112
29.3,TCP,722
29.4,TCP,1262
29.4,UDP,181
29.5,TCP,4656
29.6,TCP,5297
29.7,TCP,427
29.8,TCP,945
29.8,UDP,585
29.9,TCP,594575
30.0,TCP,1157995
30.1,TCP,1099202
30.2,TCP,1088359
30.3,TCP,1205894
30.4,TCP,1212624
30.5,TCP,51245
30.7,TCP,1081
30.8,TCP,33759
30.8,UDP,808
30.9,TCP,239655
31.0,TCP,7152
31.1,TCP,3340
31.2,TCP,1131
31.3,TCP,264
32.4,TCP,396
32.5,TCP,1321
34.4,TCP,198
34.5,TCP,198
36.1,TCP,54
36.2,TCP,108
36.5,TCP,396
38.5,TCP,396
40.6,TCP,396
41.6,TCP,361
42.6,TCP,396
44.7,TCP,396
46.7,TCP,396
48.8,TCP,396
50.5,TCP,216
50.8,TCP,757
51.2,TCP,229
51.3,TCP,66
51.9,TCP,156
52.0,TCP,420
52.1,TCP,288
52.8,TCP,132
52.9,TCP,264
54.9,TCP,396
57.0,TCP,536
57.0,UDP,178
57.1,TCP,84838
57.2,TCP,1254
59.0,TCP,396
61.1,TCP,396
63.1,TCP,396
63.4,TCP,120
63.5,TCP,812
63.5,UDP,181
63.6,TCP,1194
63.7,TCP,1353
65.1,TCP,66
65.2,TCP,330
65.5,TCP,1250
65.6,TCP,594
65.7,TCP,1655
65.7,UDP,533
