time,type,traffic_flow
0.0,TCP,108
1.1,TCP,278
1.2,TCP,216
21.8,TCP,54
21.9,TCP,54
24.8,TCP,54
24.9,TCP,216
25.0,TCP,54
27.9,UDP,82
28.0,TCP,3482
28.0,UDP,1161
28.1,TCP,14306
28.2,TCP,7198
28.2,UDP,380
28.3,TCP,13889
28.4,TCP,5485
28.4,UDP,187
28.5,TCP,1198
28.5,UDP,75
28.6,TCP,4129
28.7,TCP,296
28.8,TCP,3757
28.8,UDP,392
28.9,TCP,7991
29.0,TCP,1648
29.0,UDP,76
29.1,TCP,12469
29.1,UDP,296
29.2,TCP,3520
29.3,TCP,855
29.4,TCP,10143
29.5,TCP,32479
29.5,UDP,1328
29.6,TCP,20381
29.6,UDP,79
29.7,TCP,10098
29.8,TCP,2932
29.8,UDP,483
29.9,TCP,32381
29.9,UDP,216
30.0,TCP,13189
30.1,TCP,20093
30.1,UDP,762
30.2,TCP,19090
30.2,UDP,73
30.3,TCP,24481
30.3,UDP,164
30.4,TCP,1224
30.4,UDP,490
30.5,TCP,7046
30.6,TCP,1811
30.6,UDP,652
30.7,TCP,6453
30.8,TCP,1042
30.9,TCP,5984
31.0,TCP,2350
31.1,TCP,54
33.0,TCP,1463
33.2,TCP,3578
33.2,UDP,401
33.3,TCP,2580
33.4,TCP,1747
33.5,TCP,162
36.8,TCP,139
36.9,TCP,355
38.2,TCP,193
38.3,TCP,54
38.6,TCP,148
38.6,UDP,673
38.7,TCP,7359
38.7,UDP,232
38.8,TCP,5281
38.9,TCP,1794
39.0,TCP,54
40.3,TCP,440
40.4,TCP,54
40.6,TCP,139
40.7,TCP,174
43.3,TCP,54
43.6,TCP,391
43.7,TCP,361
43.9,TCP,634
44.0,TCP,788
44.7,TCP,1313
44.7,UDP,1086
44.8,TCP,4514
44.8,UDP,1760
44.9,TCP,7037
44.9,UDP,218
45.0,TCP,1260
45.0,UDP,601
45.1,TCP,2567
45.1,UDP,596
45.2,TCP,1926
45.3,TCP,282
45.6,TCP,54
45.7,TCP,1220
45.7,UDP,370
45.8,TCP,228
46.1,TCP,442
46.1,UDP,293
46.2,TCP,108
46.3,TCP,186
46.3,UDP,340
46.4,TCP,905
46.5,TCP,378
46.6,TCP,728
46.6,UDP,80
46.7,TCP,186
46.7,UDP,331
46.8,TCP,174
46.9,TCP,54
47.2,TCP,128
47.3,TCP,480
47.4,TCP,862
47.5,TCP,162
48.0,UDP,324
48.1,TCP,394
48.1,UDP,267
48.2,TCP,751
48.3,TCP,270
48.4,TCP,600
48.4,UDP,91
48.5,TCP,625
48.6,TCP,54
48.6,UDP,78
48.7,TCP,950
48.7,UDP,1381
48.8,TCP,10497
48.9,TCP,2727
48.9,UDP,89
49.0,TCP,591
49.1,TCP,591
49.2,TCP,599
49.2,UDP,606
49.3,TCP,378
49.3,UDP,1058
49.8,UDP,85
49.9,UDP,85
50.9,UDP,85
51.0,UDP,85
51.7,TCP,465
51.8,TCP,4794
51.8,UDP,1878
51.9,TCP,45985
52.0,TCP,181849
52.0,UDP,85
52.1,TCP,543126
52.1,UDP,85
52.2,TCP,760136
52.3,TCP,796682
52.4,TCP,734550
52.5,TCP,766932
52.6,TCP,761894
52.7,TCP,731002
52.8,TCP,783330
52.9,TCP,718200
53.0,TCP,630206
53.1,TCP,899372
53.1,UDP,85
53.2,TCP,725942
53.3,TCP,617684
53.3,UDP,85
53.4,TCP,764916
53.5,TCP,615818
53.6,TCP,648168
53.7,TCP,904618
53.8,TCP,210848
53.9,TCP,1050510
54.0,TCP,998640
54.1,TCP,769660
54.2,TCP,757440
54.3,TCP,776084
54.3,UDP,85
54.4,TCP,740776
54.5,TCP,793866
54.6,TCP,774560
54.7,TCP,599034
54.7,UDP,85
54.8,TCP,872203
54.9,TCP,746006
55.0,TCP,778566
55.1,TCP,403324
55.2,TCP,797264
55.3,TCP,441274
55.4,TCP,764865
55.5,TCP,1228668
55.6,TCP,988953
55.7,TCP,811086
55.8,TCP,766328
55.9,TCP,653450
56.0,TCP,862160
56.1,TCP,758166
56.2,TCP,695084
56.3,TCP,799354
56.4,TCP,787746
56.5,TCP,715322
56.6,TCP,837224
56.6,UDP,170
56.7,TCP,727136
56.8,TCP,768832
56.9,TCP,699659
57.0,TCP,839638
57.1,TCP,761214
57.2,TCP,662554
57.3,TCP,821534
57.4,TCP,767548
57.5,TCP,783933
57.6,TCP,468248
57.6,UDP,85
57.7,TCP,422718
57.8,TCP,1030965
57.9,TCP,1100570
57.9,UDP,85
58.0,TCP,674586
58.1,TCP,842184
58.2,TCP,585188
58.3,TCP,541454
58.4,TCP,602050
58.5,TCP,451960
58.6,TCP,366780
58.7,TCP,649502
58.8,TCP,1850158
58.9,TCP,818090
58.9,UDP,175
59.0,TCP,500910
59.0,UDP,314
59.1,TCP,19502
59.2,TCP,688328
59.3,TCP,714106
59.4,TCP,643792
59.4,UDP,172
59.5,TCP,907586
59.6,TCP,747660
59.7,TCP,192606
59.8,TCP,41762
59.9,TCP,746670
60.0,TCP,326932
60.1,TCP,1080068
60.1,UDP,87
60.2,TCP,1049812
60.2,UDP,275
60.3,TCP,768678
60.3,UDP,104
60.4,TCP,822732
60.4,UDP,2649
60.5,TCP,754347
60.6,TCP,759273
60.7,TCP,800570
60.7,UDP,174
60.8,TCP,700157
60.9,TCP,818270
61.0,TCP,776400
61.1,TCP,752469
61.1,UDP,83
61.2,TCP,709444
61.3,TCP,781026
61.4,TCP,701121
61.4,UDP,508
61.5,TCP,795915
61.5,UDP,104
61.6,TCP,704556
61.7,TCP,847976
61.7,UDP,455
61.8,TCP,535826
61.8,UDP,85
61.9,TCP,1021710
62.0,TCP,807662
62.1,TCP,737584
62.1,UDP,87
62.2,TCP,767596
62.3,TCP,787386
62.4,TCP,764478
62.5,TCP,775988
62.6,TCP,743914
62.7,TCP,760168
62.7,UDP,104
62.8,TCP,798072
62.8,UDP,81
62.9,TCP,758720
63.0,TCP,752660
63.0,UDP,94
63.1,TCP,756848
63.1,UDP,174
63.2,TCP,785446
63.2,UDP,660
63.3,TCP,741540
63.4,TCP,749373
63.4,UDP,346
63.5,TCP,768992
63.6,TCP,607442
63.7,TCP,798097
63.8,TCP,763103
63.9,TCP,777896
63.9,UDP,104
64.0,TCP,739413
64.1,TCP,803915
64.1,UDP,174
64.2,TCP,773086
64.3,TCP,737799
64.4,TCP,784614
64.4,UDP,85
64.5,TCP,758389
64.6,TCP,765154
64.7,TCP,773572
64.8,TCP,763530
64.8,UDP,85
64.9,TCP,468805
65.0,TCP,653342
65.1,TCP,994238
65.1,UDP,191
65.2,TCP,754657
65.3,TCP,527648
65.4,TCP,413752
65.5,TCP,1205822
65.6,TCP,941386
65.7,TCP,418386
65.8,TCP,1259199
65.8,UDP,170
65.9,TCP,707846
66.0,TCP,811643
66.1,TCP,789962
66.2,TCP,737894
66.3,TCP,800092
66.4,TCP,702476
66.5,TCP,652936
66.6,TCP,782164
66.7,TCP,652116
66.8,TCP,328320
66.8,UDP,85
66.9,TCP,902080
67.0,TCP,887248
67.1,TCP,1008272
67.2,TCP,439772
67.2,UDP,85
67.3,TCP,1211412
67.4,TCP,761446
67.4,UDP,2077
67.5,TCP,339905
67.6,TCP,119840
67.7,TCP,239976
67.8,TCP,146394
67.9,TCP,129972
68.0,TCP,104110
68.1,TCP,99602
68.2,TCP,149884
68.2,UDP,170
68.3,TCP,135884
68.4,TCP,89222
68.5,TCP,131992
68.6,TCP,98574
68.7,TCP,83086
68.8,TCP,123438
68.9,TCP,97316
69.0,TCP,79910
69.1,TCP,100732
69.2,TCP,103384
69.3,TCP,102754
69.4,TCP,99552
69.5,TCP,102514
69.5,UDP,85
69.6,TCP,95382
69.6,UDP,85
69.7,TCP,107338
69.8,TCP,93772
69.9,TCP,110000
70.0,TCP,99606
70.1,TCP,96998
70.2,TCP,91218
70.3,TCP,99824
70.4,TCP,92348
70.5,TCP,112854
70.6,TCP,97936
70.6,UDP,85
70.7,TCP,102292
70.7,UDP,85
70.8,TCP,98188
70.9,TCP,108624
71.0,TCP,102640
71.1,TCP,95880
71.2,TCP,90342
71.3,TCP,100344
71.4,TCP,104058
71.5,TCP,102538
71.6,TCP,102352
71.7,TCP,105554
71.7,UDP,85
71.8,TCP,93526
71.8,UDP,85
71.9,TCP,103270
72.0,TCP,83906
72.1,TCP,96578
72.2,TCP,112572
72.3,TCP,105428
72.4,TCP,102766
72.5,TCP,87002
72.6,TCP,100104
72.7,TCP,94126
72.8,TCP,114410
72.8,UDP,85
72.9,TCP,91646
72.9,UDP,85
73.0,TCP,99486
73.1,TCP,111358
73.2,TCP,96870
73.3,TCP,95392
73.3,UDP,82
73.4,TCP,88428
73.4,UDP,136
73.5,TCP,91903
73.6,TCP,103347
73.7,TCP,105927
73.8,TCP,98573
73.8,UDP,83
73.9,TCP,97842
73.9,UDP,223
74.0,TCP,102557
74.0,UDP,85
74.1,TCP,101653
74.2,TCP,109227
74.3,TCP,95683
74.3,UDP,123
74.4,TCP,95966
74.5,TCP,108062
74.5,UDP,334
74.6,TCP,90621
74.7,TCP,112453
74.8,TCP,102293
74.9,TCP,86934
75.0,TCP,92665
75.0,UDP,85
75.1,TCP,94992
75.1,UDP,85
75.2,TCP,105982
75.3,TCP,98532
75.4,TCP,101422
75.5,TCP,95666
75.6,TCP,116190
