time,type,traffic_flow
0.0,TCP,140
0.0,UDP,595
0.1,TCP,889
0.2,TCP,352
0.3,TCP,54
0.6,TCP,108
2.1,TCP,545
2.2,TCP,1897
2.3,TCP,108
10.1,TCP,193
10.2,TCP,120
10.9,TCP,233
11.0,TCP,305
12.2,TCP,239
12.3,TCP,355
18.3,UDP,697
18.4,TCP,140
18.4,UDP,1264
18.5,TCP,4364
18.5,UDP,608
18.6,TCP,1612
18.7,TCP,1775
18.7,UDP,1678
18.8,TCP,6816
18.8,UDP,329
18.9,TCP,6137
18.9,UDP,238
19.0,TCP,14415
19.1,TCP,7129
19.2,TCP,8787
19.3,TCP,907
19.4,TCP,3548
19.4,UDP,626
19.5,TCP,753
19.6,TCP,799
19.7,TCP,3827
19.8,TCP,180
19.9,TCP,683
20.0,TCP,4247
20.1,TCP,856
20.1,UDP,626
20.2,TCP,819
20.3,TCP,3839
20.4,TCP,180
20.5,TCP,683
20.6,TCP,1943
20.7,TCP,802
20.8,TCP,54
21.8,UDP,664
21.9,TCP,140
22.0,TCP,5409
22.1,TCP,1032
22.2,TCP,29408
22.3,TCP,47769
22.4,TCP,1242
23.7,UDP,80
23.8,TCP,74
23.8,UDP,537
23.9,TCP,691
24.0,TCP,1552
24.4,TCP,1540
24.5,TCP,1340
29.0,TCP,451
29.1,TCP,201
29.4,TCP,213
29.6,TCP,95
29.7,TCP,54
29.9,TCP,540
30.0,TCP,4685
30.1,TCP,216
30.3,TCP,342
30.3,UDP,595
30.4,TCP,11045
30.5,TCP,528
30.6,TCP,54
30.9,TCP,54
31.4,UDP,311
31.5,TCP,128
31.6,TCP,691
31.7,TCP,3937
31.8,TCP,951
31.9,TCP,1108
32.6,TCP,54
32.9,TCP,622
32.9,UDP,168
33.0,TCP,499
33.0,UDP,573
33.1,TCP,503
33.2,TCP,4444
33.3,TCP,344
33.4,TCP,1154
33.5,TCP,248
33.5,UDP,741
33.6,TCP,491
33.7,TCP,4276
33.8,TCP,447
33.9,TCP,1195
